date,crime_rate,state
2001-07-01,6.32,Alabama
2001-08-01,6.29,Alabama
2001-09-01,6.68,Alabama
2001-10-01,6.15,Alabama
2001-11-01,6.13,Alabama
2001-12-01,3210.62,Alabama
2002-01-01,5.43,Alabama
2002-02-01,4.16,Alabama
2002-03-01,5.29,Alabama
2002-04-01,5.37,Alabama
2002-05-01,6.81,Alabama
2002-06-01,745.86,Alabama
2002-07-01,6.11,Alabama
2002-08-01,6.66,Alabama
2002-09-01,6.67,Alabama
2002-10-01,5.76,Alabama
2002-11-01,4.34,Alabama
2002-12-01,3307.62,Alabama
2003-01-01,5.31,Alabama
2003-02-01,4.38,Alabama
2003-03-01,6.09,Alabama
2003-04-01,6.11,Alabama
2003-05-01,5.7,Alabama
2003-06-01,738.12,Alabama
2003-07-01,5.53,Alabama
2003-08-01,6.23,Alabama
2003-09-01,4.62,Alabama
2003-10-01,5.58,Alabama
2003-11-01,5.07,Alabama
2003-12-01,3375.1,Alabama
2004-01-01,5.8,Alabama
2004-02-01,5.33,Alabama
2004-03-01,6.0,Alabama
2004-04-01,6.29,Alabama
2004-05-01,5.65,Alabama
2004-06-01,664.28,Alabama
2004-07-01,5.96,Alabama
2004-08-01,6.37,Alabama
2004-09-01,6.12,Alabama
2004-10-01,5.22,Alabama
2004-11-01,11.53,Alabama
2004-12-01,3329.59,Alabama
2005-01-01,5.74,Alabama
2005-02-01,5.22,Alabama
2005-03-01,5.93,Alabama
2005-04-01,6.57,Alabama
2005-05-01,6.05,Alabama
2005-06-01,790.28,Alabama
2005-07-01,7.94,Alabama
2005-08-01,6.65,Alabama
2005-09-01,4.51,Alabama
2005-10-01,4.47,Alabama
2005-11-01,6.34,Alabama
2005-12-01,3280.07,Alabama
2006-01-01,14.25,Alabama
2006-02-01,9.18,Alabama
2006-03-01,12.33,Alabama
2006-04-01,11.94,Alabama
2006-05-01,12.23,Alabama
2006-06-01,793.84,Alabama
2006-07-01,14.39,Alabama
2006-08-01,12.36,Alabama
2006-09-01,12.91,Alabama
2006-10-01,11.48,Alabama
2006-11-01,13.06,Alabama
2006-12-01,2834.17,Alabama
2007-01-01,9.73,Alabama
2007-02-01,8.9,Alabama
2007-03-01,10.42,Alabama
2007-04-01,9.13,Alabama
2007-05-01,10.25,Alabama
2007-06-01,703.49,Alabama
2007-07-01,10.69,Alabama
2007-08-01,10.36,Alabama
2007-09-01,9.95,Alabama
2007-10-01,10.01,Alabama
2007-11-01,9.97,Alabama
2007-12-01,2929.52,Alabama
2008-01-01,9.11,Alabama
2008-02-01,7.52,Alabama
2008-03-01,9.89,Alabama
2008-04-01,9.61,Alabama
2008-05-01,10.35,Alabama
2008-06-01,635.03,Alabama
2008-07-01,10.22,Alabama
2008-08-01,10.64,Alabama
2008-09-01,10.21,Alabama
2008-10-01,9.31,Alabama
2008-11-01,9.21,Alabama
2008-12-01,3233.84,Alabama
2009-01-01,7.73,Alabama
2009-02-01,7.03,Alabama
2009-03-01,8.31,Alabama
2009-04-01,7.76,Alabama
2009-05-01,10.01,Alabama
2009-06-01,558.62,Alabama
2009-07-01,10.15,Alabama
2009-08-01,9.02,Alabama
2009-09-01,8.25,Alabama
2009-10-01,8.84,Alabama
2009-11-01,4.28,Alabama
2009-12-01,3151.43,Alabama
2010-01-01,4.42,Alabama
2010-02-01,3.61,Alabama
2010-03-01,4.67,Alabama
2010-04-01,5.26,Alabama
2010-05-01,6.95,Alabama
2010-06-01,559.56,Alabama
2010-07-01,6.49,Alabama
2010-08-01,5.38,Alabama
2010-09-01,5.93,Alabama
2010-10-01,5.65,Alabama
2010-11-01,5.3,Alabama
2010-12-01,2834.72,Alabama
2011-01-01,246.37,Alabama
2011-02-01,208.79,Alabama
2011-03-01,258.35,Alabama
2011-04-01,276.34,Alabama
2011-05-01,288.54,Alabama
2011-06-01,426.09,Alabama
2011-07-01,297.08,Alabama
2011-08-01,297.03,Alabama
2011-09-01,277.89,Alabama
2011-10-01,290.39,Alabama
2011-11-01,279.8,Alabama
