series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Minnesota,220.15,215.48,246.1,279.9,316.5,334.01,369.85,359.48,286.79,325.49,267.49,683.07,291.93,257.55,310.87,344.54,374.66,390.53,416.59,396.63,342.71,362.62,293.07,326.65,313.26,307.94,353.79,335.04,366.11,394.72,426.14,425.79,375.2,372.77,350.28,336.06,272.74,264.49,322.71,324.55,350.16,357.15,400.81,422.62,357.18,361.52,312.52,307.62,291.96,251.81,301.38,327,348.22,382.53,417.73,430.7,367.89,380.78,320.78,305.13,327.25,245.07,291.93,287.21,321.25,327.82,357.2,378.12,317.69,330.82,300.82,284.07,205.35,203.59,551.71,247.77,270.15,593.68,308.94,314.78,568.1,258.84,182.2,496.14,213.39,207.75,434.9,240.97,254.25,475.27,303.31,301.88,471.81,289.35,232.37,851.14,196,181.25,498.53,228.17,251.45,562.32,288.56,284.08,531.34,262.65,202.28,588.31,265.28,265.25,318.06,317.74,349.29,364.33,376.53,390.48,345.06,362.32,313.07,293.58,291.43,274.45,318.18,317.68,352.18,376.99,396.3,417.89,363.44,387.38,324.74,304.65,288.13,300.69,312.6,339.82,373.68,380.08,416.49,415.07,360.22,373.64,306.98,283.6,186.34,189.76,200.38,226.01,259.56,272.73,296.67,307.6,274.01,277.92,224,1386.58,193.15,200.2,217.39,216.9,241.33,260.34,274.71,269.44,236.19,241.08,197.59,1196.44,163.99,152.97,184.61,197.85,207.87,228.31,229.84,237.95,198.11,208.33,193.69,1108,168.49,171.81,190.77,183.6,210.61,617.27,241.49,241,208.9,219.14,170.92,563.02,171.5,142.16,164.16,188.4,214.6,573.88,238.87,247.3,214.68,222.21,200.01,640.15,188.68,172.24,172.36,191.8,214.87,571.19,255.91,257.07,225.41,224.67,186.48,613.04,172.79,146.73,171.03,186.76,205.88,551.31,231.39,225.01,202.16,196.51,158.62,496.27,190.14,169.01,197.93,205.64,231.76,356.19,256.78,256.01,243.39,254.17,217.84,478.48,178.41,174.73,208.01,217.3,237.67,371.55,267.81,287.78,261.24,271.26,229.84,352.05,182.4,143.6,165.18,191.11,219.44,559.72,240.19,240.04,200.18,213.98,191.48,558.75,171.21,137.83,166.15,184.53,205.32,514.16,241.07,230.55,202.07,207.85,186.09,510.35,163.09,138.63,146.27,170.37,192.99,494.98,233.62,225.12,206.15,209.74,168.72,486.07,138.26,125.57,146.97,167.16,190.48,448.22,213.87,204.21,192.2,174.89,170.07,460.82,129.43,115.5,154.79,166.25,177.53,450.12,210.11,206.26,177.26,179.11,150.96,432.6,124.51,103.24,126.94,152.13,174.73,450.88,203.67,204.96,174.64,181.13,162.57,482.84,138.83,123.22,152.03,165.58,173.71,187.73,203.3,193.6,169.56,175.83,152.66,726.36,182.47,153.42,161.95,185.42,216.08,225.77,255.09,242.54,224.85,223.67,193.8,168.42,158.6,132.72,158.53,175.1,206.6,225.46,236.73,225.66,211.24,213.62,169.95,189.3,167.83,129.94,159.83,175.26,193.22,199.72,221.42,218.29,206.81,199.35,181.71,177.68,155.47,138.61,162.3,160.47,180.64,186.7,195.84,214.24,195.02,198.05,178.57,167.21,161.28,151.46,161.17,171.73,189.88,201.57,210.76,213.54,191.88,197.81,183.57,169.38,160.16,135.01,145.75,139.09,167.88,175.48,190.54,197.62,180.85,184.38,164.42,160.64,156.15,125.29,147.07,158.94,185.44,189.19,204.47,208.98,190.3,189.79,172.3,170.11,169.78,151.35,154.72,142.32,162.15,164.47,202.9,210.48,208.33,210.31,180.23,192.32,172.67,152.18,157.05,151.15,167.52,180.01,190.55,185.33,181.85,189.98,174.51,169.53,163.19,151.48,168.74,164.34,175.96,181.2,186.86,185.02,166.6,166.37,144.87,135.05,132.29,124.26,131.96,135.79,154.91,152.56,160.59,166.02,144.92,145.58,132.31,136.09,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Minnesota Clearances,53.73,54.76,62.29,58.03,60.17,63.34,67.42,70.31,55.04,62.77,54.11,112.16,58.28,56.43,69.34,69.6,68.32,67.7,68.2,69.32,60.35,63.55,51.64,54.46,64.44,64.58,72.4,62.51,65.52,67.52,75.11,72.21,65.38,68.54,61.56,134.5,59.1,59.2,72.32,63.31,64.31,59.34,67.21,73.8,63.42,66.16,55.32,55.81,56.63,53.66,61.61,60.9,63.41,63.52,66,70.05,59.82,69.89,62.92,136.46,67.11,57.9,64.99,57.7,64.39,61.75,64.97,70.23,59.2,63.77,58.15,134.82,54.51,53.79,89.12,59.12,62.66,57.85,66.67,68.55,56.11,60.13,46.48,42.78,60.25,58.24,85.27,58.87,56.29,83.64,61.85,60.75,78.89,61.25,53.37,128.8,52.49,50.82,95.84,54.16,53.19,93.31,56.13,57.08,87.73,54.89,47.85,124.14,61.84,64.88,75.3,68.58,72.89,72.41,70.97,75.45,69.94,75.45,63.43,65.62,57.73,56.08,66.28,62.43,64.95,63.28,66.34,72.82,64.59,67.29,60.44,57.81,51.4,57.02,63.59,64.96,71.66,63.53,70.35,70.5,60.91,61.46,54.77,45.08,50.26,51.73,54.87,54.4,60.07,57.6,60.33,60.35,55.1,56.06,46.49,151.43,52.69,53.26,57.11,51.08,56.03,56.43,56.67,56.18,49.55,54.51,45.14,47.15,42.62,41.89,49.23,47.98,47.49,52.37,46.5,46.02,41.77,39.63,28.65,79.64,38.87,41.35,46,43.13,47.71,48.2,49.34,51.11,43.94,46.26,38.37,134.23,44.33,38.07,40.75,45.25,46.4,47.97,51.29,49.3,43.46,44.33,41.87,40.06,45.26,43.69,44.68,45.34,49.6,48.05,50.66,51.82,46.38,48.45,43.37,43.01,45.58,38.7,46.06,47.32,47.58,45.72,47.4,46.13,43.21,41.8,36.64,36.39,47.74,44.26,50.22,46.77,49.99,48.93,50.81,51.38,47.64,47.83,43.97,70.69,43.06,42.17,48.85,48.58,51.67,63.61,52.37,55.41,49.62,51.28,43.41,67.27,46.41,38.4,43.25,43.95,49.18,75.67,49.58,48.12,45.22,47.53,43.25,82.96,46.12,38.33,46.37,45.75,49.91,68.7,50.89,50.31,45.08,47.35,44.42,88.79,47.45,42.07,44.48,48.52,49,64.52,53.1,50.9,47.05,48.81,42.81,62.22,40.84,38.6,43.47,46.52,49.81,73.79,52.41,51.37,46.05,45.55,44.19,65.32,42.35,38.69,45.4,45.27,47.93,69.53,48.51,46.57,43.36,45.17,40.27,57.64,38.65,33.15,38.24,41.85,47.92,70.35,48.83,48.53,43.29,46.04,40.66,67.45,42,38.07,42.78,47.54,47.11,48.37,51.37,48.09,42.81,45.27,40.25,156.34,52.73,46.18,48.88,52.62,55.72,57.85,61.41,60.34,56.33,57.68,50.65,45.61,49.48,41.33,46.77,49.45,52.23,55.55,56.76,55.33,51.48,57.44,47.87,52.98,50.06,45.34,49.89,48.91,52.81,56.61,58.53,59.99,55.79,58.29,52.09,55.57,51.83,46.36,48.86,48.37,50.24,49.33,47.77,53.97,49.17,50.6,46.05,46.41,46.08,42.03,45.28,44.4,48.74,49.65,52.06,52.95,48.47,48.47,46.23,44.13,43.75,38.43,43.34,41.85,44.02,42.68,43.93,45.28,41.12,43.16,40.82,40.19,44.43,34.2,41.12,41.84,44.33,45.74,49.04,45.7,41.96,44.68,42.24,40.77,42.98,38.54,36.7,30.38,29.8,27.33,30.21,30.63,29.18,29.39,21.69,25.87,26.1,22.27,25.46,22.64,21.85,23.96,25.04,23.2,23.63,25.83,23.29,23.81,25.35,21.48,26.44,25.8,25.29,26.57,28.56,28.37,26.28,26.03,25.05,24.78,26.47,23.46,25.67,25.85,30.05,29.71,28.23,28.71,28.12,29.33,28.71,28.4,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
