series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Michigan,417.4,364.66,454.49,461.04,482.68,503.22,532.01,539.41,491.52,528.11,482.13,438.37,440.22,369.22,443.34,474.41,490.72,501.15,528.27,540.75,499.56,515.83,464.2,489.98,427.3,416.14,466.3,454.18,466.98,483.7,522.05,534.82,504.03,507.55,486.16,490.11,431.61,368.45,437.04,431.98,448.86,448.76,478.69,516.19,472.7,488.78,457.92,433.05,434.47,366.89,415.65,424.56,450.48,451.9,503.8,510.36,464.48,485.74,435.01,404.37,428.46,353.57,423.3,418.09,426.92,421.45,472.55,482.19,450.77,487.49,449.97,450.24,393.85,377.35,444.92,455.05,463.44,472.74,514.04,520.69,458.91,476.29,415.05,402.45,377.22,365.19,396.71,397.33,402.23,408.5,443.55,466.55,418.9,429.08,398.43,394.66,362.72,304.28,366.9,375.12,386.93,409.35,435.78,456.14,410.83,427.51,405.96,381,301.06,288.84,377.91,373.77,401.8,414.85,444.78,459.46,426.11,438.53,403.69,378.03,338.79,295.06,356.54,363.04,376.74,408.63,433.67,465.21,422.19,445.61,378.61,348.1,361.29,336.37,350.64,364.17,376.03,393.85,444.72,434.78,403.92,446.73,374.92,359.52,345.17,304.24,362.07,360.44,388.01,389.12,419.85,429.66,399.16,415.09,379,353.55,357.83,299.46,312.53,327.94,347.61,366.19,382.52,403.82,367.07,366.7,335.22,319.82,273.17,269.95,285.95,300.07,323.01,334.12,363.11,359.92,333.72,335.57,309.94,286.59,272.98,242.3,285.96,275.48,304.85,318.52,348.51,342.98,313.05,324.17,286.47,238.23,262.97,230.16,262.21,282.66,298.14,307.25,338.21,347.36,316.92,335.81,310.83,277.72,279.5,214.91,246.99,266.61,283.03,290.85,323.16,332.44,310.15,303.89,271.56,278.51,247.13,202.18,241.51,258.86,278.66,302.49,322.19,323.36,315.32,307.24,276.06,252.89,221.87,204.23,244.8,252.03,263.17,273.22,299.51,296.97,274.92,286.88,257.18,234.47,219.2,192.64,227.84,249.93,268.75,287.58,295.7,323.19,282.6,296.13,256.01,228.54,259.85,209.65,249.34,249.1,287.36,289.95,319.41,319.26,282.04,287.72,265.71,247.06,239.15,171.62,229.08,245.08,279.97,282.2,304.51,305.68,275.09,288.37,253.7,216.05,224.57,175.3,219.99,248.04,269.17,273.52,306.72,300.3,271.18,274.33,230.77,187.63,186.33,167.8,212.65,227.94,254.42,267.76,290.77,289.94,263.14,262.98,245.01,212.2,194.33,154.64,207.62,229.67,245.76,255.96,281.26,280.33,249.41,246.83,224.63,197.08,183.66,130.65,182.79,200.24,224.22,241.06,265.2,273.01,236.64,231.18,220.49,207.74,194.69,163.44,196.76,206.79,227.1,233.19,246.27,236.29,224.15,222.62,207.59,184.49,180.94,137.71,169.75,188.38,214.28,219.17,239.24,236.96,213.58,210.93,184.25,153,140.2,116.27,144,172.12,185.09,195.76,212.03,208.49,191.85,182.21,151.66,161.39,144.05,104.41,136.12,151.65,167.34,174.58,191.98,196.26,179.34,176.72,156.68,167.55,143.66,119.96,142.78,151.74,164.87,171.42,186.13,195.06,175.88,175.03,163.7,142.78,142.4,122.91,131.37,144.23,156.16,162.4,180.9,182.82,165.11,163.43,142.62,129.72,130.2,105.68,124.83,126.43,148.96,153.61,165.72,164.34,154.31,147.35,127.86,133.42,117.33,96.55,111.57,126.78,142.32,144.58,158.6,154.99,148.23,148.95,127.16,135.24,126.58,107.22,110.75,103.08,104.35,116.93,121.51,136.62,130.96,130.75,116.03,121.46,110.21,84.9,100.4,98.05,113.62,123.85,128.48,132.1,130.96,129.77,120.49,124.05,114.74,100.76,118,115.41,130.89,140.23,156.43,154.31,146.15,149.97,140.82,135.16,131.38,112.13,116.74,125.07,139.1,149.32,154.68,152.87,141.07,140.18,124.31,128.12,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Michigan Clearances,51.04,49.41,58.64,56.34,56.14,54.76,53.25,53.06,48.56,53.05,48.57,43.61,51.5,47.74,53.22,51.6,50.99,53.02,50.16,52.93,54.8,55.39,49.64,52.27,51.59,51.48,59.34,53.35,54.56,52.08,53.42,56.12,57.32,59.43,57.28,56.44,60.13,55.28,61.5,57.84,55,47.87,54.89,55.96,52.46,55.14,53.81,53.78,57.61,54.85,59.09,56.09,57.02,55.26,60.24,61.82,56.86,60.35,60.12,56.3,64.6,53.35,71.97,56.28,57.19,54.56,55.13,56.67,55.14,61.43,57.43,54.06,60.16,55.89,62.65,60.94,57.99,55.35,57.97,59.93,56.79,62.01,52.88,55.07,55.33,58.53,58.31,53.55,48.89,45.96,45.71,48.79,45.8,49.54,44.26,45.59,52.55,44.02,50.09,45.44,43.45,45.13,43.62,44.69,42.06,44.17,44.13,43.18,42.47,38.34,49.9,42.69,45.83,42.62,43.35,43.16,40.11,44.36,40.46,43.2,38.09,34.8,39.8,37.51,36.19,35.18,36.34,41.02,34.22,37.05,34.97,32.08,44.97,40.91,41.91,41.76,41.15,41.05,43.11,43.09,41.12,48.69,41.85,39.1,39.5,39.09,40.85,38.77,40.81,38.03,39.5,39,36.79,39.32,37.65,36.47,27.19,27.28,30.16,29.02,28.24,28.3,31.41,32.47,30.48,34.5,34.88,80.51,27.7,30.2,32.96,33.08,33.61,34.26,33.03,34.92,34.67,33.47,34.77,35.48,26.58,27.76,29.88,29.67,28.55,29.52,30.89,31.28,30.28,31.8,29.65,27.24,25.21,25.13,29.24,28.43,30.84,29.33,31.3,32.66,31.31,33.89,33.07,31.73,29.72,27.01,29.17,29.89,31.31,29.62,30.44,31.86,32.79,33.58,30.6,32.09,27.3,24.87,29.85,30.64,57.34,31.75,33.79,31.2,32.11,35.08,31.19,31.14,24.43,25.86,30.17,29.07,29.27,28.76,29.34,31.99,29.85,31.85,30.15,30.13,24.25,23.74,29.43,29.66,29.91,30.38,31.03,33.19,30.8,33.17,29.57,31.41,24.83,23.56,28.46,26.44,30.44,29.32,28.84,33.16,30.24,31.79,30.74,31.01,25.36,20.95,27.99,28.52,31.11,29.58,31.17,32.9,29.91,32.19,29.85,29.87,31.05,26.22,31.39,32.2,31.73,31.71,33.72,34.37,31.92,34.29,30.69,28.16,27.15,26.48,29.71,29.49,33.06,33.34,34.6,34.6,32.99,32.37,33,34.34,31.8,25.91,31.82,31.71,33.64,32.51,33.59,32.81,30.1,30.82,29.88,29.7,31.03,24.13,30.31,28.21,29.47,30.43,30.7,36.3,30.82,31.22,29.84,31.88,30.44,27.31,27.57,28.81,30.49,32.1,30,32.16,32.11,31.96,30.14,29.1,29.04,25.03,29.37,29.35,30.91,29.83,32.95,33.69,31.1,32.09,27.98,26.84,22.66,24.18,27.73,28.33,28.37,28.66,29.87,28.94,27.72,26.4,23.21,25.39,24.77,18.39,22.92,22.39,22.98,24.83,25.45,24.36,24.53,24.62,22.89,24.42,22.55,20.98,24.96,24.81,26,26.79,26.67,26.67,26.3,26.7,25.15,24.47,22,20.84,22.92,21.85,24.58,24.99,25.39,25.43,24.27,24.63,23.46,23.7,23.97,20.53,23.58,21.81,24.63,24.97,23.57,25.84,23.62,24.17,22.07,23.6,22.52,20.3,20.98,21.99,23.64,22.65,25.35,24.36,23.79,24.46,21.23,23.4,24.5,20.84,18.02,13.48,14.04,15.78,15.84,18.35,17.73,18.38,14.5,16.79,15.91,16.07,16.06,14.12,14.91,17.04,17.22,17.3,16.25,17.13,16.54,16.67,16.05,14.94,18.68,18.17,17.96,18.43,18.39,20.04,17.98,18.73,17.36,18.03,19.18,16.96,19.24,18.1,18.88,18.92,19.41,22.09,18.78,20.49,19.21,21.2,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
