series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Wisconsin,247.05,236.38,316.14,332.53,352.37,357.45,380.91,383.55,347.06,366.68,285.29,254.06,247.56,221.77,295.47,314.81,351.73,347.81,371.56,375.52,342.77,360.11,307.53,332.83,274.55,284.39,304.69,319.97,322.94,359.48,377.75,377.69,346.51,358.85,328.12,310.82,247.09,237.75,291.03,299.1,315.29,328.58,374.01,379.94,345.14,334.91,314.51,313.11,285.11,248.8,281.42,312.28,348.17,366.23,384.18,390.47,353.52,376.39,330.46,293.86,297.9,267.5,332.3,330.93,345.23,352.19,397.8,401.44,362.97,388.39,363.11,317.5,273.82,280.7,334.8,327.12,366.45,376.36,404.69,422.66,366.12,401.41,331.34,331.9,318.79,296.37,316.14,321.62,323,353.32,394.26,391.01,338.81,372.79,328.97,317.25,270.6,242.9,286.73,298.45,331.12,322.2,387.96,376.08,332.05,352.75,311.36,304.88,216.55,213.5,298.57,297.56,318.43,337.8,363.48,377.37,334.84,351.15,307.37,287.71,251.75,222.31,270.2,275.65,306.34,327.8,347.74,365.98,321.63,378.19,304.56,273.71,246.44,234.47,261.67,285.97,306.84,322.14,354.04,367.03,341.14,339.99,268.4,268.04,236.14,217.47,246.51,267.5,292.9,302.87,337,350.9,317.02,326.95,268.68,262.99,429.73,380.38,418.2,447.64,472.82,475.17,589.2,565.81,520.38,554.85,539.4,531.68,186.55,192.52,251.25,247.84,265.1,272.15,303.53,308.85,276.75,289.77,254.48,241.14,209.59,192.81,240.01,231.74,269.49,281.92,305.18,295.62,275.77,290.86,253.47,200.47,218.97,177.77,220.13,233.47,261.23,276.19,302.18,313.99,282.39,311.17,277.08,248.57,229.53,211.35,212.08,229.13,257.77,269.06,309.84,308.68,283.35,283.13,248.94,238.14,208.55,174.99,213.51,223.32,246.89,252.07,297.26,288.38,262.31,272.22,237.27,228.57,179.98,172.14,212.16,208.68,231.98,240.84,261.88,252.78,216.42,250.99,224.49,208.99,169.36,161.86,197.9,211.91,231.75,243.45,266.46,271.8,240.9,258,223.88,197.73,216.18,171.4,198.99,214.36,243.34,260.07,276.29,289.05,247.24,256.09,233.55,225.6,221.07,157.93,205.86,222.91,257.13,258.51,280.88,282.18,255.11,285.35,240.89,191.68,206.83,159.52,191.13,226.12,254.26,255.53,288.6,281.1,266.11,266.75,217.79,169.4,171.96,160.25,191.73,205.9,235.93,242.73,264.34,265.62,238.98,232.6,222.78,195.01,174.81,148.26,196.94,209.34,226.36,239.01,257.4,254.3,219.76,223.25,206.1,173.83,164.07,129.36,167.05,184.52,212.99,225.57,254.21,251.69,227.27,225.34,203.91,204.13,176.7,153.71,190.79,206.46,221.02,222.52,241.46,240.61,216.47,216.89,189.84,174.67,163.48,131.6,146.1,163.84,187.9,199.63,221.86,226.04,210.33,207.88,179.16,153.17,138.28,118.74,145,162.65,187.24,196.69,224.01,212.01,204.6,187.95,156.39,164.84,138.91,110.19,139.98,155.63,169.22,176.25,188.04,180.88,180.83,178.07,162.91,161.25,146.14,124.01,143.39,149.45,162.96,175.61,184.15,193.75,180.87,182.83,165.86,140.91,140.81,125.99,127.1,143.12,164.74,159.22,174.85,174.97,161.53,163.72,150.75,138.68,128.49,102.43,116.43,113.69,138.41,144.08,153.72,147.19,142.39,144.56,124.93,122.06,100.77,87.35,98.35,111.49,131.97,130,148.52,144.74,142.48,135.82,119.55,123.64,112.05,99.98,105.49,96.96,107.59,130,151.26,155.31,147.93,140.54,122.49,129.43,114.92,96.24,109.23,111.02,136.9,139.1,155.02,152.84,143.96,145.98,134.14,130.27,115.24,95.95,113.92,113.19,123.48,123.51,135.58,129.58,113.83,115.89,104.39,104.14,95.65,81.93,95.5,102.61,102.87,108.82,116.46,113.29,104.95,110.93,101.36,101.47,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Wisconsin Clearances,68.06,67.61,79.13,77.01,74.63,71.21,71.51,79.86,67.35,76.08,67.39,62.99,72.47,65.14,68.77,70.66,72.83,69.98,73,75.01,73.49,74.5,71.46,77.75,71.51,72.33,75.71,75.64,69.92,68.34,77.66,71.04,78.99,87.36,79.12,85.41,62.71,65.1,75.59,70.46,63.63,61.8,69.56,77.14,72.63,75.56,67.59,67.94,68.28,66.55,74.08,73.51,73.22,74.98,71.69,80.53,74.53,79.11,75.51,73.93,76.52,66.44,81.72,71.71,72.12,67.32,71.43,78.34,71.73,82.45,73.82,77.73,69.87,71.55,81.59,74.31,77.61,79.35,81,86.13,77.8,84.52,73.27,80.13,77.96,78.74,79.78,73.31,72.73,77.11,78.67,78.66,72.22,84.37,71.66,73.62,76.34,69.84,82.51,75.63,80.78,72.4,81.99,81.22,77.32,79.48,77.31,72.93,66.36,64.32,82.85,78.99,72.83,76.7,77.4,82.13,77.77,81.4,76.19,78.26,68.26,61.52,80.36,75.88,75.65,77.7,79.37,80.56,77.11,84.57,74.89,77.99,68.61,68.44,77.08,71.89,71.56,73.75,81.1,84.51,83.13,90.11,72.96,75.1,71.86,64.47,74.54,71.87,75.96,68.27,75.06,77.99,71,75.14,64.78,73.01,70.39,63.56,65.69,59.76,72.74,69.72,57.63,86.06,63,70.17,75.99,65.13,55.33,52.88,64.94,58.88,60.56,57.34,61.8,62.69,63.66,62.43,57.51,68.85,49.85,49.31,59.23,55.86,57.12,56.26,60.84,60.95,57.58,59.32,55.66,68.86,53.08,49.58,61.37,58.3,62.96,61.23,61.43,65.73,59.94,65.45,61.36,58.82,54.23,53.74,54.15,58.36,57.64,54.92,61.37,61.28,56.68,61.23,56.8,53.4,50.03,45.08,52.97,48.05,52.61,49.28,59,57.34,56.67,56.31,50.67,61.45,47.14,44.73,54.31,49.45,51.7,51.13,52.28,52.66,51.66,54.93,50.64,50.42,43.13,39.22,50.13,47.41,49.4,51.24,48.48,50.52,47.63,51.39,47.63,45.3,52.62,43.92,48.78,48.38,53.14,53.41,54.7,58.21,48.59,54.9,52.8,51.37,51.77,40.46,50.34,50.86,55.8,52.94,56.72,58.45,53.19,60.22,52.88,50.38,50.72,44.35,49.97,56.1,57.88,56.12,59.81,59.44,54.27,61,54.42,48.49,43.66,42.85,48.67,47.8,54.17,52.41,56.7,58.81,53.41,53.37,49.85,53.83,51.9,43.36,50.93,48.55,55.75,50.65,55.09,59.09,49.81,51.34,49.96,48.75,46.58,39.5,47.9,44.76,52.06,53.36,56.06,59.35,57.4,55.23,53.32,58.2,53.94,49.84,55.5,55.45,58.57,56.03,59.24,63.28,53.24,57.12,52.5,51.26,51.06,42.62,47.18,48.8,52.96,49.03,56.57,54.94,55.04,58.53,53.86,50.69,44.19,42.58,43.92,48.85,51.52,50.26,55.6,52.99,51.81,53.32,45.37,49.93,46.02,37.8,42.61,44.85,46.54,44.57,47.71,47.16,47.35,46.91,44.58,45.55,43.24,42.82,46.81,42.91,45.8,42.36,45.34,46.59,45.17,45.26,41.98,42.44,43.44,39.89,40.05,40,43.45,39.24,40.48,41.79,36.53,40.03,36.49,36.69,36.95,32,35.04,31.36,35,33.08,36.67,34.25,34.9,36.11,32.36,35.38,30.16,28.37,32.37,33.62,34.91,32.51,35.76,34.35,36.33,35.94,34.13,34.16,33.12,32.73,30.17,25.25,24.06,29.92,30.35,31.81,30.81,28.51,24.71,26.93,25.76,22,24.02,22.33,24.94,25.12,23.78,25.1,25.05,24.62,25.07,25.74,24.3,23.25,26.79,27.73,27.6,27.63,27.54,29.08,24.89,28.03,25.77,28.05,24.96,22.11,27.79,27.14,26.24,25.9,27.82,29.79,27.26,27.05,26.76,28.79,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
