series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Texas,464.95,429.23,478.42,465.69,484.72,493.91,558.96,578.73,517.75,554.11,521.28,530.29,543.1,493.07,552.62,541.3,553.69,564.99,617.53,634.8,585.93,579.96,557.41,585.59,584.71,552.48,593.16,550.24,584.2,600.29,655.59,661.37,600.28,606.88,574.19,585.57,588.69,558.45,600.2,565.27,598.16,605,659.55,700.82,644.86,645.47,619.97,638.84,634.06,549.2,597.97,574.49,616,628.6,674,670.4,601.99,622.87,586.67,574.88,596.21,534.65,599.41,569.19,585.22,595.93,640.03,638.36,592.94,610.95,581.57,584.6,578.87,512.22,551.27,548.62,590.72,604.63,663.19,660.05,601.59,594.98,552.66,583.82,551.57,492.36,531.19,501.63,509.36,538.12,584.14,566.04,522.48,518.1,487.21,506,480.31,417.51,477.81,464.53,484.42,493.17,527.16,509.87,474.82,478.72,462.1,464.11,441.75,384.47,433.41,418.89,438.63,445.13,472.4,463.34,435.59,436.91,423.7,428.65,411.25,366.22,411.69,391,429.51,428.33,457.79,450.92,423.29,442.41,426.91,430.39,422.7,381.75,406.61,410.93,443.72,431.71,464.39,445.93,425.95,445.52,413.62,426.6,401.46,353.74,400.03,396.52,418.62,436.25,450.64,435.98,412.94,424.19,382.07,409.29,398.66,336.62,377.02,371.94,388.34,388.91,400.44,399.81,382.56,393.25,372.39,383.15,362.26,313.87,362.81,367.25,381.1,390.2,407.83,398.88,379.55,385.77,373.23,390.96,354.66,327.58,365.42,356.22,393.84,390.5,404.97,393.47,364.98,377.41,357.31,368.7,356.27,317,359.99,378.78,401.56,395.42,409.21,402.63,390.06,417.81,387.26,400.86,379.44,317.89,370.17,380.49,398.93,390.89,424.9,410.35,392.26,405.07,374.11,394.68,374.97,312.5,380.37,392.5,405.89,401.53,416.68,395.71,390.21,400.18,366.79,395.74,377.42,321.99,379.02,373.94,387.57,391.7,398.17,390.23,382.17,388.94,370.21,367.38,355.32,297.72,347,356.86,386.39,384.61,391.93,393.92,366.55,376.36,350.6,357.35,339.57,284.89,331.77,338.32,366.77,354.86,370.42,361.74,336.41,351.42,332.62,343.13,323.07,282.73,337.4,343.11,374.51,362.29,380.52,371.94,345.68,350.84,331.62,343.52,324.67,279.25,316.74,327.15,340.99,338.58,379.93,364.36,333.14,355.9,315.48,336.83,322.07,269.1,319.37,331.12,352.9,351.39,366.49,359.2,342.87,350.51,332.72,342.12,315,259.02,316.72,325.12,337.88,328.79,343.49,329.89,309.64,318.87,309.49,310.18,286.94,225.62,282.04,295.46,315.97,307,314.1,310.74,288.81,298.34,284.99,289.71,281.24,232.8,266.88,279.23,297.53,288.04,302,298.91,280.44,297.63,278.05,281.99,279.56,234.26,255.67,273.63,288.08,281.24,293.59,287.86,269.99,282.5,260.97,269.03,269.12,219.2,241.28,248.74,261.66,258.16,268.76,262.9,254.1,258.76,237.28,255.78,240.55,192.47,222.82,232.2,244.68,247.26,258,250.54,239.88,240.77,233.58,248.31,236.79,203.44,223.01,229.65,236.8,234.08,237.34,241.67,232.35,236.97,227.1,238.35,227.84,197.05,208.5,211.17,227.25,222.7,224.16,222.91,204.55,211.5,206.12,210.9,202.11,176.9,190.05,195.56,206.45,204.06,207.82,208.4,196.05,202.51,193.88,205.55,197.9,174.71,188.66,193.22,213.78,202.78,218.99,210.6,200.37,208.83,197.65,210.07,205.18,186.4,181.56,166.38,177.57,187.27,189,195.38,189.32,204.58,191.17,199.23,183.01,154.05,174.65,171.36,185.36,179.58,189.87,191.61,188.14,197.05,191.82,200.04,191.02,175.13,196.11,196.19,201.42,199.02,206.8,200.94,192.73,201.5,184.01,192.44,190.94,169.34,186.14,183.88,189.3,193.37,200.53,192.18,186.55,196.14,185.25,189.08,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Texas Clearances,89.9,84.69,91.76,86.42,89.57,85.77,95.45,102.65,95.94,98.92,90.11,93.81,96.32,90.78,97.57,94.28,98.82,95.01,103.27,104.13,98.68,100.16,93.06,103.28,101.95,100.6,109.52,99.8,92.47,103.76,108.07,107.93,100.12,104.64,99.12,106.86,102.28,102.35,108.9,101.25,99.86,101.69,102.45,109.87,105.68,107.8,101.83,111.08,109.14,100.68,108.42,106.34,108.44,107.87,106.94,115.47,105.38,106.57,103.31,107.58,104.82,98.19,106.38,97.02,105.54,96.87,102.25,108,97.72,107.91,99.5,103.95,101.83,97.76,99.97,95.19,100.37,93.56,103.43,103.45,100.8,105.1,90.8,96.56,100.63,89.72,94.22,90.06,84.69,87.08,91.55,91.59,85.67,91.18,77.95,88.49,83.97,81.04,86.45,82.22,80.21,83.37,86.11,89.44,83.31,85.52,79.52,87.34,88.19,80.16,86.99,80.42,84,84.92,80.69,89.14,83.78,83.97,82.02,85.28,82.43,73.65,79.4,76.76,80.89,78.64,77.82,82.5,74.05,77.08,74.8,76.44,83.86,74.62,77.13,76.88,78.62,71,77.71,78.77,72.52,80.49,72.86,77.85,76.66,71.63,76.61,74.07,77.27,75.59,76.24,75.91,74.13,78.31,65.71,73.8,67.11,63.9,68.35,67.04,67.44,66.16,68.11,65.13,61.65,65.46,61.12,72.86,63.83,58.56,65.17,60.3,60.64,63.04,62.42,63.77,60.42,60.08,58.27,64.15,56.69,55.37,59.81,54.28,60.38,58.86,56.01,60.75,55.01,58.73,53.86,59.86,58.54,50.95,58.15,56.56,57.41,55.17,56.87,59.6,52.94,59.57,56.5,60.62,61.39,53.24,57.8,60.66,61.53,56.89,62.06,61.73,57.36,64.15,57.39,62.8,60.71,52.64,57.29,58.34,62.64,57.22,61.75,59.02,58.65,61.45,55.04,62,60.84,53.92,62.12,60.27,59.62,57.03,56.74,59.69,58.25,57.39,55.4,58.8,55.86,49.54,56.72,54.01,58.2,57.34,53.8,57.44,50.09,52.08,50.21,54.63,52.59,43.98,48.09,46.56,53,48.36,47.89,49.43,47.32,49.26,46.31,48.95,48.27,43.28,49.22,49.76,54,50.64,52.38,52.63,47.75,51.01,46.88,51.4,51.75,46.67,48.17,51.28,49.72,49.33,54.76,52.41,45.8,51.89,45.69,51.43,51.49,45.61,48.32,50.05,51.31,51.8,52.96,51.59,52.45,54.73,51.06,55.44,51.22,46.28,50.84,50.4,51.36,50.19,47.87,50.52,47.36,51.33,49.22,48.8,49.38,39.56,45.85,45.01,48.21,47.24,46.11,49.51,46.25,46.17,46.03,49.27,46.54,41.39,44.21,45.05,48.71,45.09,47.51,48.44,43.81,49.91,44.08,48.95,47.11,42.13,45.14,46.69,48.34,45.88,46.93,47.95,45.95,49.09,45.78,48.27,52.46,41.31,43.45,44.61,46.57,42.88,45.7,44.84,42.96,45.17,39.68,43.4,42.05,36.62,39.22,39.84,40.37,41.16,43.14,42.31,39.47,40.04,39.23,40.8,39.45,36.32,37.21,37.66,37.03,35.38,32.4,34.84,33.42,32.58,31.85,32.26,34.21,29.37,31.16,29.97,32.53,32.17,30.74,30.47,28.06,28.18,28.03,28.44,29.72,28.06,28.14,27.47,28.01,26.29,27.02,27.97,24.86,26.13,24.55,26.37,26.95,23.78,24.04,25.08,26.99,24.78,27.24,26.13,23.98,25.64,22.93,23.33,25.41,24.02,21.73,17.32,18.52,17.39,17.47,18.43,18.2,19.73,17.23,18.02,15.85,13.5,16.9,16.29,16.27,16.59,17.33,16.54,16.39,17.1,16.4,17.69,16.14,15.39,17.69,18.47,17.54,17.44,17.86,18.4,17.27,17.77,17.05,18.15,18.33,16.49,18.06,18.04,19.33,18.03,19.01,19.32,18.15,19.1,19.57,19.33,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
