series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Arizona,549.01,488.84,548.51,517.79,516.07,505.16,580.42,593.21,572.87,580.64,533.35,581.21,572.94,543.89,598.29,560.14,566.25,549.08,578.53,602.99,560.54,554.7,529.2,562.11,549.23,525.05,585.34,550.97,540.41,528.75,545.11,570.37,558.59,577.92,555.33,606.63,577.04,558.37,583.99,533.98,559.26,543.58,590.02,621.91,605.05,606.77,590.98,632.2,604.81,582.08,633.63,602.83,635.88,606.8,639.7,691.95,638.59,685.11,584.74,604.01,642.51,607.89,640.29,614.21,613.28,581.8,620.21,641.28,594.05,615.19,578.26,600.49,571.51,563.85,591.96,554.64,557.12,555.73,583.95,604.25,566.26,577.14,543.46,576.38,544.07,516.29,536.73,516.67,521.21,511.39,548.34,562.69,542.09,553.07,526.04,559.02,551.61,479.81,547.19,548.68,550.02,564.6,593.23,582.42,573.3,609.67,585.08,600.28,580.04,544.67,576.31,548.03,554.05,564.31,583.84,611.08,576.52,612.71,583.01,978.16,646.93,584,642.16,587.74,615.6,611.34,633.31,664.77,669.62,701.74,665.16,633.16,581.17,549.42,549.6,524.53,527.08,503.07,536.9,553.65,552.09,596.28,536.82,551.66,557.71,514.69,550.8,544.53,563.31,537.36,563.72,564.14,567.19,591.03,551.61,613.66,577.04,508.2,533.06,517.76,498.52,485.9,507.5,496.93,497.16,503.75,486.26,478.49,458.4,404.84,447.4,427.78,441.7,425.03,445.3,465.02,458.17,498.67,460.89,471.18,437.85,419.14,468.57,429.21,445.8,425.26,462.12,470.03,443.93,464.89,443.87,451.72,440.4,409.24,463.54,453.83,468.7,449.94,477.55,463.6,446.02,507.27,480.14,515.16,569.68,466.72,478.54,467.23,481.46,456.55,485.47,492.07,486.26,521.58,478.06,494.51,482.2,429.22,479.03,467.28,461.82,446.22,473.55,468.3,485.46,518.26,476.37,490.03,496.49,427.88,475.01,441.41,449.75,441.69,438.81,444.24,428.37,446.14,436.32,451.15,442.62,409.56,438.71,411.48,424,413.74,425.94,421.54,414,441.28,413.78,434.14,396.9,341.58,379.59,353.92,376.49,357.9,369.15,374.28,374.16,399,388.18,389.9,386.41,341.01,361.29,355.06,373.66,347.73,357.03,348.54,333.23,365.16,338.81,352.41,335.14,305.57,334.65,333.17,325.77,318.92,319.48,323.63,328.03,330.96,301.2,311.7,304.24,255.28,284.8,269.83,280.47,284.09,284.53,283.62,282.76,286.24,266.37,272.48,273.73,237.99,277.89,268.8,277.11,271.86,278.01,279.31,273.57,292.95,281.5,290.23,287.6,237.16,271.55,258.82,268.03,279.05,281.08,288.21,289.17,299.13,276.35,288.42,275.95,235.06,251.77,251,272.55,260.43,271.83,276.19,259.65,280.59,263.32,261.83,304.45,261.05,280.28,282.45,284.2,279.62,288.27,289.05,286.46,298.64,275.86,288.64,294.14,241.3,254.45,254.62,261.47,262.31,275.19,273.71,269.51,284.67,260,280.54,272.58,229.17,242.21,244.62,253.03,245.53,255.88,250.2,260.33,262.45,257.92,276.16,273.29,231.91,243.38,243.04,253.28,243.08,242.92,266.14,247.45,255.29,242.64,262.85,254.62,223.22,242.69,232.9,244.21,242.38,254.3,250.84,241.85,259.7,243.55,259.54,251.3,210.64,220.5,222.95,233.78,221.25,227.75,226.96,217.55,232.03,217.76,221.14,217.39,189.58,204.26,205.75,209.84,204.29,203.14,198.51,197.71,210.57,195.17,211.94,210.15,200.78,201.41,185.57,184.66,159.33,158.13,168.23,173.65,199.09,198.79,213.48,137.25,137.31,135.79,128.17,139.27,128.79,136.47,137.34,142.18,143.14,137.17,148.92,193.46,163.16,178.01,167.08,185.97,173.18,170.96,174.78,166.21,174.24,160.71,171.78,155.92,134.87,143.42,150.59,144.21,141.7,150.61,154.34,149.42,157.05,149.48,149.61,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Arizona Clearances,112.1,101.55,111.6,103.8,95.48,89.99,102.71,100.52,103.22,110.71,109.15,122.14,117.32,109.74,122.72,118.33,124.71,102.32,104.76,112.74,108.55,119.76,102.32,128.86,115.45,119.72,130.04,119.33,110.55,111.02,108.03,109.65,112.94,122.67,115.63,136.68,117.92,123.76,132.32,114.26,114.93,108.53,106.94,128.27,123.35,115.92,123.93,134.99,124.8,115.42,128.37,115.5,121.63,110.16,113.91,116.35,126.66,133.52,112.48,131.4,126.85,123.91,127.04,121.08,118.77,99.91,107.42,105.38,99.16,103.66,109.32,108.93,103.05,106.24,115.33,111.22,108.98,100.25,102.83,107.92,102.02,111.92,108.12,116.47,104.98,105.52,102.64,100.1,95.84,90.7,90.25,95.38,92,95.39,95.71,106.52,93.68,86.36,103.87,97.44,93.2,91.1,91.11,89.37,94.47,103.06,101.87,105.27,96.22,94.94,104.69,96.35,94.33,90.88,91.88,95.1,94.41,102.4,97.48,108.8,103.58,95.18,108.17,94.44,104.28,99.08,93.32,96.86,96.86,104.14,108.79,110.44,104.46,95.3,96.06,90.67,78.87,78.16,88.18,92.17,86.25,95.21,86.95,90.45,90.9,87.68,91,89.14,82.4,85.71,83.1,87.54,84.73,91.2,84.65,94.89,92.98,82.48,88.16,82.21,82.51,81.93,81.93,78.17,67.94,77.42,73.93,77.63,72.56,68.31,73.22,68.73,68.82,70.57,68.88,68.05,66.84,71.27,68.34,74.71,64.72,63.78,63.51,58.39,62.23,56.64,57.86,61.24,56.48,59.51,53.85,55.12,62.89,55.27,62.83,58.84,61.47,57.37,59.63,60.55,54.76,61.8,61.78,66.06,70.1,62.14,61.38,60.73,62.07,63.14,64.92,65.22,63.03,70.73,62.67,65.78,66.11,61.61,61.85,64.62,64.71,61.13,63.88,62.21,62.58,67.42,62.95,70.57,73.06,61.43,66.63,63.47,63.36,61.82,59.36,59.29,59.45,59.81,61.65,47.42,62.71,58.9,62.51,59.03,58.77,56.45,54.16,56.14,58.33,54.37,52.93,60.24,49.38,42.16,44.91,39.87,42.49,41.17,41.36,43.89,42.49,44.79,43.3,44.39,44.86,40.66,44.61,44.77,44.18,43.51,46.99,46.94,42.74,42,44.11,46.79,47.42,43.01,48.17,47.23,46.87,44.9,41.67,43.35,47.03,47.55,45.91,47.08,47.45,41.6,47.52,45.97,44.64,46.61,47.18,47.45,45.11,47.31,44.37,47.37,46.15,41.48,49,45.2,46.05,42.13,42.22,42.85,43.84,43.17,43.21,48.78,44.42,38,42.85,43.75,45.6,43.6,42.65,47.5,44.93,47.42,45.53,49.1,47.26,43.54,44.86,45.33,47.08,45.71,48.03,44.03,44.09,48.87,45.17,45.6,50.24,43.99,48.88,48.49,52.08,49.43,51.8,54.62,52.71,54.89,51.28,53.3,56.72,47.55,52.02,53.76,53.44,51.21,52.96,55.16,53.67,53.47,48.95,54.31,51.01,45.52,49.86,48.78,47.55,49.02,52.5,48.37,48.95,47.84,45.61,50.47,51.03,44.4,42.78,46.72,48.27,42.82,41.78,45.62,42.41,44.66,39.35,47.61,43.11,41.71,45.36,45.28,42.82,36.69,40.37,42.55,40.53,41.47,40.97,41.05,38.33,38.16,37.62,35.79,40.41,36.86,37.54,37.61,36.43,37.21,35.02,38.83,35.53,33.98,34.06,35.68,37.93,35.4,37.18,37.81,35.03,33.81,31.78,31.19,34.28,33.24,33.87,33.52,33.09,27.86,29.93,27.38,30.15,29.31,28.95,32.86,22.69,23.97,21.93,21.65,21.22,21.2,23.55,22.63,24.09,22.26,22.32,22,26.92,22.83,25.36,24.03,27.13,27.27,27.62,27.63,26.68,26.6,25.73,26.8,24.36,21.7,23.36,24.5,23.53,25.02,24.81,27.38,24.22,26.7,26.27,25.59,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
