series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Louisiana,345.68,369.57,419.29,391.73,412.49,445.65,498.6,496.98,467.3,466,461.91,489.7,470.41,449.17,475.41,443.18,456.37,467.89,493.02,510.19,478.37,486.44,467,486.18,457.63,439.31,458.33,427.31,450.19,482.17,503.7,529.39,475.22,473.79,447.36,476.96,453.78,436.51,454.77,435.49,450.12,459.28,497.5,531.38,475.61,474.06,456.49,470.45,504.36,462.81,464.99,464.06,520.08,522.87,568.88,581.73,522.35,526.56,479.01,490.04,512.33,473.22,480.03,474.38,511.27,521.29,560.83,559.55,522.87,524.14,483.03,495.94,472,462.18,484.95,487.14,515.7,523.33,555.33,544.73,518.26,525.98,484.53,521.83,495.3,435.87,509.48,479.21,497.17,534.47,581.14,568.61,536.32,511.23,494.68,513.31,500,443.25,507.01,466.95,458.58,518.99,564.16,561.89,515.86,506.24,453.24,613.59,473.84,422.09,469.56,476.4,474.38,490.33,544.29,541.34,488.49,494.07,466.94,495.39,483.43,423.95,472.22,450.09,484.9,470.5,521.51,504.21,473.16,487.11,486.83,484.92,442.26,411.11,418.24,440.78,469.93,468.68,511.97,510.28,470.29,479.16,457.94,1067.35,496.31,409.97,475.54,463.18,504.5,501.51,528.66,495.4,490.36,489.07,444.19,455.14,450.32,393.75,451.39,441.58,470.54,452.69,487.29,498.29,450.8,447.83,421.88,456.86,417.46,371.73,414.35,418.38,434.94,444,465.34,461.76,426.23,435.34,406.16,416.04,384.17,346.64,406.16,396.85,431.68,434.3,446.71,429.51,392.75,404.67,380.37,386.81,376.65,328.29,369.91,396.46,405.08,400.54,449.03,413.19,396.81,416.57,388.5,401.75,358.1,315.48,357.65,387.52,399.9,394.75,420.69,407.41,383.32,376.42,353.67,364.15,348.4,276.03,345.45,364.63,378.12,376.85,410.06,383.83,389.75,374.87,355.69,375.3,360.83,304.73,372.17,366.03,389.71,378.62,393.03,387.05,377.82,373.41,355.47,356.33,338.78,288.27,352.66,356.65,366.06,360.38,360.83,355.84,315.11,311.56,301.04,329.46,310.43,251.37,323.34,326.14,366.15,361.88,376.67,371.93,341.71,355.07,334.34,349.92,339.5,277.81,348.3,345.25,369.14,366.47,386.44,371.97,353.38,356.96,332.41,342.62,307.24,277.9,315.96,329.64,353.06,339.16,358.01,331.3,320.55,311.56,293.01,303.22,287.6,251.59,302.37,314.24,336.05,336.54,348.75,337.45,335.87,321.71,314.52,312.41,293.47,237.29,293.48,315.1,325.26,321.91,332.9,333.18,304.2,309.75,287.37,302.27,287.56,224.96,287.24,311.65,338.18,324.17,330.35,331.89,320.95,313.19,300.08,307.58,268.75,216.13,258.26,274.65,294.79,288.41,296.09,277.55,259.61,270.14,244.65,593.52,292.43,247.54,266.37,301.43,311.33,310.58,329.81,326.21,300.51,308.82,288.6,297.84,283.18,246.64,269.83,290.45,309.05,288.52,311.78,296.48,290.41,296.29,273.94,288.61,279.07,212.61,254.42,276.89,289.44,289.68,311.72,304.1,284.72,296.19,285.57,296.24,281.72,239.6,260.5,271.26,283.82,281.08,290.02,285.55,270.9,277.92,272.71,290.72,293.36,250.18,264.96,274.4,290.1,301.32,306.49,306.56,279.48,286.44,265.51,275.18,264.6,246.13,260.59,265.02,287.45,294.94,307.48,292.27,270.27,282.04,259.75,272.18,274.78,241.55,253.48,258.75,287.94,279.77,287.78,280.55,265.82,267.61,253.28,282.72,281.44,245.9,239.38,219.04,227.8,231.93,224.57,258.87,235.33,252.27,247.14,250.24,228.16,188.91,191.13,188.24,222.46,217.06,225.39,224.95,230.03,227.14,220.44,242.83,242.46,221.18,233.12,235.86,252.08,243.03,252.04,245.45,232.7,234.93,212.36,234.51,242.56,204.66,206.05,222.68,244.58,229.97,235.48,230.28,225.82,215.56,222.37,219.57,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Louisiana Clearances,71.64,71.34,86.67,72.99,80.53,74.98,84,87.93,83.37,82.99,88.09,89.29,89.64,83.83,86.6,79.88,85.38,74.22,86.33,87.93,81.68,83.29,79.26,90.31,86.66,84.5,90.57,78.68,78.28,79.3,87.59,90.5,77.2,82.7,75.69,82.22,78.22,75.59,85.21,78.46,81.01,80.46,82.05,87.24,82.14,86.73,78.23,81.18,86.74,83.49,95.09,84.72,95.41,93.73,98,104.62,97.81,97.93,78.11,86.99,100.46,85.87,95.3,89.05,94.71,87.97,94.21,100.26,90.47,98.89,91.61,86.36,83.99,76.59,90.96,84.77,89.48,84.15,88.56,92.14,88.41,84.25,83,91.1,92.31,88.64,94.02,93.34,86.71,89.99,92.59,87.59,85.7,86.25,83.26,85.78,98.01,77.54,93.96,87.88,81.85,100.44,103.15,102.43,91.66,100.36,88.85,85.15,89.33,85.38,99.09,99.89,96.78,99.57,102.81,106.9,99.36,108.94,97.41,104.14,101.69,88.65,110.67,99.11,100.3,91.58,95.92,93.08,89.35,95.21,97.26,102.84,87.88,79.82,89.66,94.71,85.04,85.53,94.51,95.51,87.41,101.57,103.34,102.06,110.94,90.2,104,105.07,109.29,104.96,113.34,102.15,104.6,116.08,96.06,98.74,104.49,89.91,98.4,103.91,103.54,100.84,104.38,101.51,93.08,98.69,93.41,102.43,75.29,64.02,71.16,73.4,71.25,70.95,78.86,76.12,67.92,82.4,68.31,70.05,66.81,61.61,67.77,67.76,69.26,70.17,71.37,74.08,65.43,69.64,67.23,67.82,75.47,65.85,71.37,74.32,81.39,73.91,86.39,85.63,74.04,78.85,75.83,79.74,68.32,60.5,68.71,78.7,81.04,71.54,76.1,73.66,73.13,78.47,71.7,74.52,71.52,59,67.85,75.28,73.36,75.52,80.96,72.85,74.55,71.17,65.95,72.24,77.52,64.99,75.88,79.29,77.04,78.03,94.48,78.57,76.82,86.98,76.34,78.47,66.72,60.07,73.43,69.25,73.84,72.34,70.04,67.91,56.73,58.07,56.86,59.92,59.22,55.82,61.86,59.09,63.48,67.31,69.17,70.66,65.98,70.15,66.51,65.75,61.39,53.25,69.08,72.16,74.87,76.19,76.05,72.75,66.35,72.69,65.34,67.82,63.57,56.99,62.94,69.54,79.15,70.55,75.32,71.6,60.06,65.01,66.36,77.93,61.19,54.34,58.94,65.25,68.87,69.82,79.4,68.37,68.33,66.96,65.32,69.24,62.19,52.1,60.09,69.17,66.73,63.24,62.12,64.79,57.05,60.81,60.56,61.03,57.78,48.08,57.23,61.79,67.48,62.03,60.65,63.82,66.12,70.33,59.13,60.24,58.74,52.28,56.18,58.43,63.29,57.58,62.16,57.43,51.43,61.03,52.75,53.16,67.53,56.77,61.69,66.23,73.12,70.44,73.41,76.79,69.76,79.01,65.58,67.11,67.74,58.74,66.45,66.38,68.9,68.6,73.81,67.01,64.75,66.32,57.22,62.22,65.71,52.32,58.6,62.02,63.87,65.9,66.62,70.87,63.6,65.9,59.57,71.18,65.52,56.81,60.08,61.7,62.89,58.62,55.15,54.59,49.31,49.33,53.3,57.38,57.99,47.34,56.79,50.84,58.72,57.75,58.79,64.18,60.54,60.77,53.74,55.86,57.35,54.02,53.58,56.02,56.31,61.28,61.29,61.87,54.05,56.85,52.7,55.64,57.94,51.02,52.74,52.21,58.95,55.23,53.78,52.87,50.34,53.09,45.85,53.46,55.22,54.81,53.78,43.04,47.64,46.21,40.08,44.08,43.53,42.56,37.12,43.9,40.36,33.45,33.16,30.99,33.19,34.18,32.63,30.57,33.15,34.49,33.9,35.67,35.03,34.58,40.64,40.38,41.95,38.55,39.84,44.68,37.94,39.91,35.73,38.44,41.42,31.98,33.24,35.39,37.13,37,38.32,35.31,36.18,38.87,36.48,35.8,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
