series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Maryland,341.89,324.77,373.36,376.82,368.26,385.82,423.36,428.76,385.59,412.57,398,393.24,359.6,335.67,397.83,406.5,404.32,405.78,436.05,441.97,419.47,421.42,391.73,414,352.48,355.74,393.34,324.74,334.24,321.26,349.26,356.89,333.87,323.65,307.67,341.27,377.35,376.81,404.13,378.42,404.65,414.41,451.1,477.65,413.85,434.3,413.47,416.89,386.46,337.4,371.59,352.23,388.42,398.65,443.5,464.79,421.72,432.2,395.5,368.08,425.14,366.04,373.42,356.46,389.17,398.85,451.53,468.04,438.05,457.73,416.78,427.02,417.39,387.78,411.46,412.56,435.82,430.75,487.68,509.78,448.44,473.62,443.74,451.58,428.46,386.59,422.07,435.94,447.49,448.15,472.41,488.16,439.06,446.15,415.61,444.82,416.15,340.66,375.95,401.55,419.4,455.73,495.15,506.53,447.47,459.34,434.8,403.34,364.68,330.26,422.56,415.07,446.28,452.83,496.14,516.32,464.54,468.85,424.14,432.03,411.41,356.01,421.74,419.94,451.28,457.23,491.37,541.08,479.13,484.23,447.79,408.28,395.65,390.58,416.73,419.72,440.49,434.85,490.07,497.68,442.74,415.27,408.07,426.98,422.66,352.84,376.6,392.41,404.71,409.6,441.41,441.84,409.81,432.83,369.34,397.01,373.02,344.45,356.24,364.83,363.24,390.38,425.48,435.28,398,391.96,354.88,403.34,259.78,221.25,242.94,245.13,260,275.79,292.46,307.5,282.93,283.02,269.93,265.12,298.86,291.27,336.77,320.72,350.19,348.12,381.05,385.88,357.6,364.52,325.25,332.5,332.99,288.31,323.27,316.05,363.3,362.74,379.64,383.43,367.95,391.86,356.19,344.92,335,285.13,303.07,330.41,343.74,345.7,389.11,369.34,357.32,389.02,311.48,309.59,302.31,226.2,299.64,323.33,335.31,337.34,363.99,350.21,325.53,365.92,304.96,306.19,291.97,267.22,307.42,287.33,314.01,321.23,331.7,343.11,306.94,309.6,304.76,297.75,267.37,234.82,271.27,286.19,311.39,314.83,332.51,349.39,322.92,321.08,296.64,278.68,295.64,225.64,276.87,271.71,289.84,310.51,320.88,333.65,299,314.28,288.6,298.96,288.23,214.15,267.6,273.3,303.59,317.95,320.13,310.75,306.05,317.57,287.61,279.9,282.79,240.72,280.25,291.66,302.77,309.94,333.75,332.24,301.71,319.99,277.02,285.18,249.08,215.97,249.13,255.44,273.24,283.13,304.01,302.73,284.76,289.94,262.41,259.5,249.78,149.08,230.43,249.67,254.12,269.44,292.96,295.71,273.75,271.93,246.62,245.95,220.36,188.37,220.99,220.36,253.68,263.47,268.45,269.24,249.88,252.44,239.45,239.04,222.4,187.15,210.09,215.39,237.42,239.07,260.5,265.12,237.09,248.07,221.55,227.51,226.12,181.3,193.56,208.3,236.98,229.74,246.07,244.72,233.47,245.02,218.1,211.51,190.75,163.48,175.71,201.84,223.76,228.6,242.15,232.66,229.52,235.17,196.33,213.97,182.24,138.17,163.88,187.52,214.5,221.58,231.07,191.05,212.06,211.36,194.02,215.56,164.91,148.96,178.28,180.99,204.09,210.04,208.48,217.77,210.46,212.63,200.42,198.16,193.5,165.63,161.63,172.3,190.56,198.9,202.97,211.23,188.61,195.2,161.86,180.89,158.49,138.7,144.31,154.96,180.86,178.71,185.26,192.25,180.73,189.96,174.31,169.39,157.34,133.1,150.02,152.82,167.13,168.09,187.26,182.41,168.53,174.03,158.33,165.46,157.7,136.45,129.66,109.91,122.58,136.15,138.71,133.6,157.48,139.49,131.78,133.02,101.58,91.89,107.62,109.81,119.8,101.29,136.68,147.18,147.96,141.36,136.9,145.36,134.88,117,125.3,125.36,138.12,145.13,148.79,155.84,153,162.55,149.76,160.93,155.62,146.52,158.55,162.88,186.37,174.8,185.95,196.15,189.81,197.15,165.15,162.3,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Maryland Clearances,60.38,59.29,69.42,63.09,63.5,67.26,76.98,69.42,61.89,78.03,65.53,83.65,62.94,62.51,74.5,67.17,67.49,70.2,73.96,73.92,73.67,75.13,75.69,77.84,64.74,67.43,82.29,65.16,62.67,59.74,57.05,59.18,64.23,68.27,58.92,67.79,67.83,68.6,81.22,71.92,69.34,72.09,72.55,83.79,73.47,75.84,79.28,81,69.91,68.8,79.27,68.52,70.87,71.61,79.97,91.78,75.15,77.39,74.47,80.9,75.67,73.12,75.52,65.69,69.31,74.64,71.55,78.72,75.08,79.93,73.47,79.49,86.33,72.6,82.54,79.89,76.86,77.6,79.49,84.3,77.57,82.76,78.05,84.36,88.65,72.7,79.93,81.48,76.79,90.34,76.55,85.82,75.94,82.64,67.64,85.02,77.74,70.19,72.83,70.84,79.4,72.29,84.21,76.46,73.72,82.26,76.05,76.9,68.53,68.57,81.4,73.02,85.57,76.46,76.68,85.55,73.56,72.48,75.28,76.86,80.93,76.25,78.97,71.17,71.01,82.72,77.5,85.32,71.39,74.61,71.43,70.44,69.18,69.26,75.08,73.41,72.63,66.75,74.62,82.85,85.59,78.35,102.41,91.25,77.43,73.47,78.93,76.88,84.03,72.33,84.99,76.77,75.69,76.43,71.07,77.96,78.77,64.17,73.99,74.05,68.26,74.17,74.11,73.37,68.89,68.56,63.29,73.82,49.85,50.97,48.49,47.78,51.72,50.68,53.02,54.91,53.42,55.14,48.05,52.49,59.17,57.49,60.74,57.06,56.13,61.15,63.42,63.4,59.28,59.32,53.39,55.9,56.89,50.05,56.61,54.94,57.58,55.31,61.67,59.4,55.72,57.26,52.74,53.32,60.83,55.04,58.54,61.49,62.05,58.72,60.53,65.88,55.93,58.5,56.76,53.72,54.02,44.58,54.64,56.13,54.98,53.39,55.38,54.4,47.83,61.1,51.7,60.27,55.85,48.03,60.53,53.4,54.14,50.22,53.44,52.32,51.37,49.23,52.7,51.96,50.34,45.62,52.59,48.51,56.87,51.86,68.53,53.92,59.05,52.8,48.05,52.71,55.67,44.41,53.18,50.47,50.84,51.72,53.96,59.46,53.03,54.24,57.5,56.4,54.9,42.5,52.89,50.55,54.31,52.35,50.58,55.69,53.02,54.54,52.01,53.15,58.42,47.82,53.45,56.75,54.58,52.9,56.54,56.27,52.88,54.09,53.87,56.48,53.16,45.9,57.92,52.29,53.83,53.29,57.76,52.34,55.71,56.2,54.18,54.83,53.33,36.81,48.96,50.25,53.55,48.24,53.23,51.13,46.78,52.22,47.56,47.41,45.71,43.92,46.36,46.09,50.67,52.47,48.75,51.92,48.11,51.66,46.98,51.06,50.79,42.3,46.26,48.58,50.13,53.46,54.94,51,47.96,52.39,48.57,49.01,50.2,42.54,41.91,43.33,48.09,45.37,49.89,47.94,46.59,51.28,45.89,41.57,43.39,38.25,40.81,45.38,50.55,49.63,48.66,45.6,47.29,48.78,37.63,44.74,41.66,37.21,35.56,39.57,40.26,36.81,41.53,29.77,37.94,39.42,38.59,43.87,36,32.51,37.01,35.85,40.31,39.18,36.53,39.43,40.95,37.02,37.28,38.96,33.26,31.69,32.12,29.48,33.01,35.74,35.29,37.87,35.64,34.32,29.36,35.63,31.92,27.06,27.6,30.15,32.24,32.52,33.33,31.18,31.76,35.12,31.18,31.97,30.53,28.14,31.66,32.12,33.38,32.06,33.84,31.36,29.79,32.44,30.82,30.14,32.56,28.65,24.97,18.46,19.04,21.02,22.57,20.25,16.49,17.54,16.06,17.55,8.52,8.76,11.24,11.5,11.55,9.81,10.6,13.44,13.06,12.01,12.97,11.84,13.42,11.27,12.32,11.74,17.09,14.87,14.37,13.89,13.88,15.2,15.22,15.17,14.4,13.64,15.7,14.73,16.2,14.8,16.03,17.21,17.17,17.27,18.62,16.55,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
