series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Delaware,347.59,372.67,358.36,339.39,379.1,387.62,448.07,439.07,375.88,389.07,379.58,373.15,362.09,327.96,369.35,378.99,364.3,389.57,430.17,417.69,371.88,368.56,334.76,352.61,317.24,331.52,392.55,364.29,358.07,381.06,424.07,440.37,378.26,408.7,299.84,314.13,342.87,360.45,346.67,336.82,362.58,365.61,405.3,443.33,358.79,361.36,367.42,359.7,357.36,316.64,347.99,324.81,374.44,355.57,391.23,425.26,380.53,395.39,342.05,339.38,392.54,354.87,397.65,360.12,413.56,379.48,404.1,361.17,395.4,480.67,415.51,402.45,406.85,388.72,399.33,397.12,435.45,442.97,515.64,530.68,432.5,445.32,403.17,394.76,409.76,408.45,372.98,375.59,413.24,407.58,265.35,285.81,316.44,340.68,315.99,268.64,352.24,297.53,309.51,321.23,386.25,389.1,240.21,264.89,221.36,215.52,216.05,220.56,353.07,306.46,361.04,356.45,236.83,236.57,262.1,266.31,247.89,268.94,223.15,224.47,578.65,477.1,547.47,528.7,589.96,644.06,705.72,798.22,770.81,767.39,746.83,674.89,361.89,347.95,371.41,563.62,629.19,635.12,665.37,652.88,563.76,595.83,504.68,536.75,443.56,368.67,386.17,397.64,425.66,411.72,379.2,401.06,381.52,388.92,335.02,566.09,404.68,342.83,372.41,366.9,407.63,386.66,407.1,434.81,381.15,410.59,358.83,373.48,335.01,312.6,306.9,311.41,353.58,375.99,415.52,405.81,343.06,355.13,329,323.56,275.65,272.21,291.48,312.79,359.37,346.22,365.49,367.92,328.99,310.23,312.28,283.31,283.47,236.2,273.66,288.5,308.86,286.48,331.71,315.77,285.03,316.22,301.07,314.36,250.96,225.6,258.7,235.87,232.7,302.09,338.9,347.46,319.07,332.87,296.02,294.61,255.78,196.58,266.06,261.65,269.24,298.11,331.62,353.52,328.71,321.72,296.03,284.1,257.36,240.26,254.35,268.8,274.46,277.35,315.89,324.8,283.61,306.85,253.14,269.64,232.12,209.72,236.63,245.28,273.97,264.84,294.24,315.7,289.03,307.64,272.43,264.25,263.63,231.29,271.01,274.17,314.13,295.5,328.07,351.15,301.82,314.36,299.01,277.1,267.54,219.39,256.41,258.05,294.01,303.73,332.78,310.17,290.96,310.37,309.56,293.72,288.29,249.46,280.73,289.09,297.68,322.99,329.52,352.54,325.4,325.74,293.9,280.84,260.99,228.76,262.34,286.88,285.98,302.6,305.54,319.96,292.54,303.96,274.44,262.23,252.36,157.92,264.16,256.25,294.01,317.28,349.91,367.96,307.15,337.55,314.5,275.52,249.14,220.14,265.67,275.81,292.9,312.85,333.47,319.58,296.65,320.68,294.88,285.73,258.06,223.05,251.85,263.74,319.16,298.99,307.28,324.29,294.63,283.18,272.16,277.15,272.36,213.59,236.89,251.36,259.68,272.1,286.25,303.86,270.38,279.13,247.46,258.58,228.85,181.25,210.92,236.25,272.44,266.29,282.65,294.51,262.23,272.38,253.74,245.5,213.02,160.48,179.51,202.23,231.83,241.67,265.77,258.47,234.48,235.75,238.6,255.73,210.84,190.94,211.23,214.38,251.24,258.39,239.27,258.7,228.77,260.28,239.37,225.71,213.11,173.5,172.98,193.15,209.06,211.55,227.98,241.91,219.97,203.55,198.87,181.61,177.81,157.68,164.4,183.94,191.49,209.99,224.06,228.09,204.62,204.2,188.8,194.66,178.61,147.58,146.54,171.6,197.38,212.37,222.13,233.63,192.35,186.77,185.12,187.98,185.06,142.48,154.23,147.65,151.8,173.39,147.34,186.36,191.43,193.35,157.68,148.56,135.94,132.25,147.6,134.74,160.36,165.74,174.71,172.42,173.71,171.02,169.33,165.23,146.93,151.74,150.16,153.32,169.19,185.88,188.92,186.57,165.06,168.38,165.88,157.33,157.47,127.58,146.14,170.95,161.26,153.12,175.5,179.15,164.01,163.29,148.66,145.75,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Delaware Clearances,66.56,84.89,92.93,81.99,75.88,85.05,88.26,88.59,80.23,101.29,94.53,88.1,67.3,83.25,85.47,85.78,85.94,86.26,86.41,89.1,100.47,107.27,99.68,99.37,61.8,90.99,97.52,84.32,85.09,85.09,94.72,99.53,86.02,106.37,75,89.75,64.55,81.52,91.52,77.73,90.61,76.67,73.48,90.61,72.88,84.55,82.42,91.36,64.49,67.46,78.75,71.77,80.39,90.34,81.43,88.71,84.99,82.62,80.68,85.14,71.15,78.21,87.97,86.92,87.67,75.66,95.47,74.76,68,102.39,84.66,65.75,82.84,85.5,89.18,83.14,92.28,88.3,98.91,102.01,95.52,103.19,109.67,89.48,79.07,89.83,95.93,106.68,90.99,84.89,42.79,51.67,70.92,49.82,49.15,50.5,72.88,68.83,78.45,75.88,84.45,84.74,54.41,45.92,43,42.47,49.9,43.26,58.51,61.06,63.79,63.42,54.74,48.95,46.31,56.58,53.68,55.52,41.84,37.89,124.73,117.55,134.11,127.76,116.17,219.25,246.66,274.07,188.42,219.25,315.18,325.45,65.53,69.95,84.57,123.3,135.44,146.77,186.01,170.81,143.13,159.67,140.77,149.21,75.43,86.09,88.55,85.54,81.31,86.5,79.8,78.3,96.34,93.04,84.06,168.19,76.1,68.3,94.11,73.14,86.85,73.14,84.43,78.23,77.71,82.01,74.75,87.79,62.07,62.86,63.79,58.22,69.23,73.08,72.94,78.54,81.06,78.67,69.91,86.76,46.2,51.05,61.51,55.39,63.43,57.55,62.53,77.46,71.98,59.6,66.36,57.68,46.39,45.25,56.94,57.82,68.64,56.06,47.67,53.8,53.33,72.7,61.6,67.03,44.6,43.93,54.17,47.25,42.3,54.67,71.15,60.74,59.25,68.98,60.77,63.24,49.05,40.25,54.92,57,57.98,61.41,61.04,73.76,63.15,67.77,56.76,71.64,44.56,55.52,58.53,59.61,64.55,63.35,63.47,78.88,58.29,69.13,56.12,58.05,44.69,48.25,57.02,57.02,59.99,58.45,55.84,70.66,66.51,72.79,61.53,71.49,50.38,56.94,60.93,57.41,71.94,66.9,66.08,76.98,73.23,66.55,60.22,70.42,49.43,49.43,62.32,61.26,72.98,63.14,70.63,78.83,67.82,72.39,68.57,74.82,73.3,64.48,75.48,76.28,83.73,72.16,69.52,80.4,78.57,77.66,68.61,79.83,71.58,78.7,73.95,80.51,87.86,85.71,77.01,91.96,77.23,83.11,72.82,77.12,75.84,51.01,72.61,68.71,70.05,78.4,80.96,89.32,74.17,80.3,71.72,80.96,82.9,70.22,80.03,69.78,77.61,84.77,84.66,71.32,66.69,82.46,79.48,86.43,84.42,79.84,79.73,74.71,85.05,87.78,86.03,82,91.16,87.56,74.58,85.19,89.85,75.38,83.07,80.48,80.58,72.27,81.66,82.96,80.8,81.45,72.71,81,82.81,70.79,76.86,81.57,91.81,86.06,86.7,88.73,80.82,79.32,87.22,81.9,84.36,62.9,67.45,77.7,76.96,77.38,85.95,79.6,75.16,72.63,73.16,88.06,74.17,81.23,76.36,69.64,76.68,86.86,68.17,90.75,69.53,77.1,78.67,70.05,73.6,56.55,69.96,58.63,65.49,60.19,75.16,71.52,64.56,56.66,57.49,64.97,61.17,50.97,52.21,56.87,61.11,52.52,64,63.07,54.8,57.38,51.9,59.95,64.65,51.32,49.7,52.68,64.59,62.75,62.13,72.5,67.57,55.84,58.04,58.55,66.02,55.23,43.98,37.6,43.27,43.27,44.69,42.97,51.68,45.5,40.13,49.86,38.37,35.88,38.57,36.68,38.97,50.73,47.04,41.36,43.75,40.76,38.97,34.34,39.44,43.72,46.67,38.6,41.44,45.95,47.62,48.02,47.33,48.74,40.17,42.31,42.43,50.7,40.99,44.29,45.45,47.29,52.04,48.33,50.02,42.25,44.29,37.99,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
