series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
New York,351.86,320.71,376.4,370.7,392.41,404.85,438.4,440.19,407.46,432.59,403.29,413.08,378.49,328.18,394.25,388.39,408.5,416.61,454.58,451.7,426.07,420.76,393.96,446.65,372.81,351.37,405.39,393.98,408.85,423.44,451.04,473.91,438.29,442.6,424.34,448.17,384.57,374.54,410.8,404.87,439.27,459.95,490.46,518.26,468.19,464.32,447.53,450.91,425.36,372.84,411.94,400.71,434.96,448.1,481.1,498.38,456.96,469.51,433.22,413.23,430.6,382.51,418.76,404.26,441.34,449.34,473.91,481.91,444.96,464.73,429.2,430.84,396.36,371.89,411.7,408.27,430.88,460.03,477.21,490.41,439.37,464.17,418.3,420.43,395.54,357.07,374.01,377.26,399.26,417.23,435.73,435.88,413.73,420.26,384.56,389.04,350.74,280.36,376.55,350.33,357.6,432.35,397.73,410.87,436.64,386.03,362.05,414.04,295.64,273.31,340.09,341.8,353.85,362.76,388.31,410.51,365.54,369.61,349.21,354.16,310.41,250.18,301.49,293.39,316.4,323.14,340.79,369.85,321.52,337.6,312.05,330.17,264.16,264.03,268.69,269.28,283.63,294.72,309.64,317.73,289.67,299.05,262.25,308.73,260.18,232.05,251.95,256.91,275.38,271.7,300.91,295.38,282.92,287.76,254.1,282.89,249.55,217.54,233.08,233.34,245.88,253.68,274.19,276.45,256,243.87,242.75,269.03,209.41,201.77,217.16,218.06,234.42,248.9,260.59,268.81,250.36,251.98,243.66,239.72,198.18,185.16,210.17,203.7,224.28,234.02,249.38,259.21,239.35,242.29,220.25,213.72,197.35,170.14,184.88,193.94,215.1,217.77,239.5,242.93,210.66,233.6,221.16,208.74,186.42,155.95,167.91,176.78,190.79,188.63,121.36,128.07,370.33,114.62,102.58,444.65,89.88,76.02,307.75,97.8,108.84,330.06,119.32,120.97,366.46,110.44,100.22,437.87,84.65,78.7,305.17,92.92,102.21,320.49,118.72,118.8,345.6,110.57,101.89,418.24,89.87,81.02,294.44,97.97,107.65,319.91,125.45,129.86,337.74,113.77,105.08,323.91,99.84,80.56,285.07,96.73,107.78,304.39,119.78,126.38,319.41,114.72,105.76,309.09,94.7,71.42,270.34,89.28,104.43,294.82,119.76,123.42,315.78,110.77,103.03,297.68,93.87,76.9,268.97,97.68,105.61,291.43,123.26,122.15,315.84,111.22,97.59,299.24,84.51,75.62,258.39,91.57,102.21,280.11,119.15,120.56,306.7,109.26,99.08,290.68,88.26,71.12,262.62,97.09,106.98,281.19,119.47,122.74,304.97,112.18,99.45,284.19,78.31,64.89,248.59,91.32,102.72,273.57,118.21,121.39,307.2,110.01,103.2,300.74,91.48,78.87,265.78,94.7,104.63,279.72,116,117.01,296.71,102.5,94.28,287.03,140.34,117.36,130.56,144.29,158.47,159.39,178.09,178.5,166.47,169.78,144.79,147.38,129.99,107.06,122.57,133.06,147.45,153.7,166.14,167.8,160.92,156.39,135,142.11,117.88,93.24,113.39,125.8,141.36,141.7,154.09,156.1,145.96,141.54,133.74,142,118.13,104.46,116.47,121.36,133.8,136.75,139.95,150.09,138.75,136.06,127.92,128.45,117.97,100.1,104.89,113.36,125.66,131,142.67,161.26,135.82,138.76,133.96,122.86,108.54,100.38,104.92,109.68,123.37,127.59,136.94,138.89,131.46,127.96,120.14,123.32,106.9,93.34,100.83,107.95,118.83,118.58,133.78,129.81,125.91,122.45,110.53,114.18,128.93,114.4,104.84,88.54,105.72,111.75,127.73,136.98,131.94,133.81,121.4,122.05,30.28,27.14,32.62,32.76,35.93,35.82,40.62,40.3,40.9,44.18,41.9,44.42,120.65,117.88,135.32,134.04,146.8,154.59,158.77,165.11,156.93,154.44,144.23,145.22,152.13,133.53,147.3,149.21,163.18,166.03,162.04,165.59,151.15,164.74,145.05,148.18,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
New York Clearances,50.66,48.04,54.22,52.91,53.53,51.04,54.14,58.85,53.46,60.22,53.16,54.96,30.51,53.36,59.11,57.56,57.68,55.84,63.16,62.11,61.82,60.71,53.13,58.4,56.18,57.26,62.29,59.15,59.87,59,61.84,69.67,66.25,67,62.59,65.76,60.63,59.02,64.54,62.45,63.88,63.43,62.09,67.27,67.2,67.13,65.35,62.51,62.93,58.69,64.95,63.25,60.68,62.85,64.64,69.31,64.73,67.99,37.72,40.11,61.73,56.12,59.54,57.27,57.53,61.89,61.97,65.44,61.78,64.67,59.72,63.66,59.87,55.32,63.41,60.81,61.19,61.92,64.81,67.06,63.3,66.15,59.43,61.46,58.54,57.4,62.67,56.89,55.32,58.34,56.78,58.81,56.65,58.74,52.74,57.49,52.61,42.79,48.32,49.11,48.96,49.12,51.78,52.48,44.01,51.5,50.56,49.85,42.95,45.07,51.43,50.99,49.05,47.86,54.94,59.26,54.47,55.28,61,67.04,60.53,47.87,54.32,52.68,49.37,50.05,39.86,44.98,42.78,41.16,39.92,44.91,52.31,53.81,51.24,50.48,52.42,53.44,54.12,57.18,54.56,55.72,51.82,63.21,53.66,48.36,52.71,53.17,53.46,49.72,53.4,54.96,54.77,55.23,51.27,60.73,52.44,42.55,47.33,44.13,45.84,44.23,46.4,48.93,44.69,43.03,42.26,81.45,41.23,39.86,43.1,40.6,42.44,43.54,46.77,47.13,44.12,43.61,44.18,56.84,39.28,35.85,39.41,38.63,38.98,42.08,41.71,44.55,39.7,43.07,40.5,71.74,40.74,36.8,40.08,38.33,40.94,43.89,44.41,43.5,37.35,38.48,41.76,45.76,47.72,47.27,49.09,54.09,58.62,25.4,26.8,27.65,27.21,27.5,24.76,103.93,23.52,20.09,22.74,24.36,25.13,24.74,25.05,24.25,25.87,24.24,23.39,91.53,21.79,21.01,23.23,22.09,21.06,22.78,23.63,24,22.23,22.93,22.39,92.65,24.22,23.45,23.36,23.72,25.29,30.22,29.39,29.41,27.02,28.85,25.78,26.88,24.26,20.1,23.01,21.85,22.01,24.53,23.7,26.31,23.66,23.37,24.91,23.41,24.86,18.98,22.94,21.01,22.97,22.63,25.14,26.74,25.22,25.7,23.63,24.12,25.98,22.16,24.21,24.64,25.68,25.34,26.14,27.08,25.74,26.79,25.01,24.34,23.95,21.15,23.07,23.08,24.74,25.17,27.74,26.67,24.53,26.06,22.79,22.7,25.49,20.87,25.42,24.93,25.71,25.83,27.24,28.92,26.16,26.27,23.96,23.81,23.35,20.09,23.55,25.44,25.9,26.85,28.09,28.09,25.47,27.15,25.91,27.7,27.92,24.96,27.99,26.28,28.06,27.38,28.18,29.12,25.77,25.3,22.17,24.3,38.51,33.85,37.67,38.17,42.18,40.38,42.84,42.54,41.1,43.19,37.25,37.86,38.82,33.01,37.89,37.75,41.07,40.77,42.51,42.47,40.23,42.52,37.34,39.19,35.38,30.59,35.91,35.96,37.6,37.2,38.37,40.47,38.17,38.62,37.15,39.06,34.77,32.15,34.97,34.36,36.18,35.15,34.46,36.04,35.47,34.81,32.63,33.7,32.64,28.32,29.82,31.03,32.48,32.17,34.34,32.62,32.53,33.29,32.21,31.41,30.78,28.81,30.34,29.59,31.79,32.21,33.02,34.58,33.38,31.27,29.98,32.91,30.04,27.78,29.87,30.05,29.58,30.13,31.9,31.06,29.84,29.05,26.75,27.03,31.87,27.83,24.3,17.84,23.94,19.19,19.89,22.51,23.07,23.87,21.17,22.92,5.89,5.31,6.6,5.78,6.49,7.07,7.66,7.01,7.7,7.29,7.79,7.39,11.43,10.53,12.13,11.46,12.54,13.04,13.46,13.99,13.04,12.84,12.22,12.8,32.77,29.57,31.93,32.98,34.09,34.85,33.26,34.99,32.7,34.99,34.36,32.17,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
