series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Colorado,495.6,452.92,548.82,530.75,540.13,530.53,622.19,610.4,549.41,596.01,494.61,537.99,568.86,499.14,584.93,551.13,566.85,574.14,603.31,573.59,539.18,520.06,480.69,507.94,480.78,472.86,529.33,489.3,487.51,530.88,539.41,552.3,499.44,508.75,478.47,465.87,417.96,452.45,511.73,455.44,460.88,483.15,510.19,535.4,485.22,500.93,475.94,467.72,438.44,400.53,491.66,446.26,490.42,472.66,526.8,538.22,456.44,460.12,462.44,435.09,462.21,418.89,490.53,461.78,460.15,464.85,507.1,512.87,452.75,468.6,436.87,436.74,437.67,429.85,482.61,462.57,466.19,481.42,499.59,498.03,444.88,477.48,422.68,448.74,420.14,423.98,482.7,445.71,440.64,466.69,473.67,472.5,450.43,462.82,407.13,440.81,413.06,363.21,432.97,398.83,415.64,418.5,465.77,449.69,412.52,436.76,389.29,432.01,365.77,344.12,407.24,407.3,382.42,459.83,429.6,439.46,462.46,412.13,383.15,445.55,397.85,364.05,429.86,363.3,388.89,447.35,441.78,450.67,440.92,434.93,414.05,423.6,243.44,233.96,247.98,251.32,255.39,268.87,261.52,261.03,261.95,260.96,228.74,1941.62,290.95,263.41,289.8,272.56,297.97,363.98,299.19,302.24,283.43,276.16,259.29,1254.13,133.84,123.75,127.16,128.17,131.75,129.05,141.82,144.55,133.55,134.89,114.44,2534.36,285.98,247.21,281.41,264.31,268.25,285.94,294.04,291.23,279.14,288.35,264.45,650.67,282.03,248.08,263.67,245.44,262.89,256.49,284.08,280.53,271.07,271.62,244.36,681.15,245.8,225.81,274.4,265.23,285.16,290.43,299.24,303.96,297.62,319.36,295.03,731.82,297.5,258.12,281.21,272.35,290.57,280.36,292.61,299.47,293.4,295.47,263.16,806.86,313.73,247.82,279.62,282.09,298.5,294.23,324.06,317.52,303.39,320.43,284.99,694,304.71,264.21,296.83,289.49,311.22,302.02,304.31,309.69,291.49,311.68,285.98,657.85,320.99,279.39,321.41,304.08,313.93,344.3,330.93,348.38,347.7,344.35,325.05,496.51,309.75,240.33,297.97,259.94,280.73,302.51,291.58,294.77,288.06,281.19,259.75,364.5,232.45,214.9,261,236.56,244.7,255.83,257.73,251.53,242.72,246.56,226.86,348.61,222.88,194.08,222.08,221.4,219.41,234.13,241.05,241.84,260.11,247.69,229.92,322.23,214.51,190.84,208.33,206.83,230.38,238.28,241.8,232.29,224.51,213.65,212.14,287.79,212.84,181.68,218.36,214.61,232.91,243.07,249.93,242.66,248.76,235.06,215.99,235.08,206.19,170.62,215.7,210.61,222.21,233.01,233.52,237.92,238.3,223.4,221.92,227.38,220.96,177.93,210.7,220.17,225.38,224.41,244.48,260.1,238.18,236.32,219.71,212.89,225.21,194.89,207.94,206.15,233.24,232.84,256.24,247.3,233.71,234.04,208.34,208.92,214.41,179.51,204.38,205.58,215.84,221.95,240.2,237.31,229.34,223.74,191.27,203.77,213.46,172.98,203.64,202.04,220.61,223.27,236.5,251.89,238.78,239.66,211.7,219.68,224.86,203.71,215.59,216.27,229.21,236.1,246.25,254.62,241.88,246.21,217.99,220.95,218.08,199.03,216.52,210.58,238.79,231.41,239.44,247.82,231.28,235.76,220.89,222,232.36,194.52,217.7,223.54,230.93,219.16,245.68,246.99,239.09,245.44,216.88,219.75,211.19,186.62,199.09,210.17,222.09,226.77,239.58,241.99,229.15,225.48,212.88,233.05,224.94,192.84,204.53,217.99,227.08,238.66,249.2,267.43,268.73,272.11,260.56,271.34,286.75,240.5,248.99,242.97,270.35,265.42,270.06,265.76,270.19,268.65,268.99,283.9,277.4,254.72,280.65,277.37,279.23,262.84,285.38,286.67,265.91,260.72,246.86,244.25,258.82,234.87,263.29,238.71,257.48,255.42,262.48,251.13,229.24,237.64,225.82,230.93,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Colorado Clearances,111.9,113.61,128.21,112.54,112.94,103.28,112.3,114.96,109.78,122.63,108.72,113.67,114.38,105.11,122.8,114.54,118.84,103.49,112.25,104.34,111.63,110.28,102.45,111.12,102.11,105.33,118.29,106.02,103.49,106.43,102.21,117.08,108.95,116.99,108.01,116.78,111.55,119.92,118.61,111.71,102.01,103.32,102.84,111.8,96.44,115.02,106.28,115.35,104.79,99.73,108.47,97.07,104.28,95.5,94.27,102.38,93.51,93.3,91.34,97.34,104.75,98.99,105.54,94.1,104.12,89.15,95.64,93.07,89.69,100.64,94.53,106.39,102.34,92.53,106.21,102.68,97.36,88.59,88.52,93.26,92.34,106.32,98.09,106.24,95.9,97.87,107.71,103.76,87.8,89.66,86.07,91.14,89.74,97.74,89.79,103.44,94.58,88.1,101.9,87.19,89.15,79.58,91.41,85.54,87.92,100.65,86.21,99.72,83.55,87.49,83.41,93.05,78.47,93.09,81.15,81.83,87.25,86.47,79.64,96.8,91.19,83.31,99.44,83.75,89.62,87.51,72.4,73.21,78.24,73.01,74.71,73.72,44.15,44.97,41.18,43.05,42.27,45.56,42.45,42.61,46.17,45.85,41.23,355.39,55.22,52.83,55.23,54.16,51.7,65.49,50.14,51.45,47.43,49.55,47.42,66.84,21.66,24.06,27.13,25.25,24.45,24.39,24.91,22.86,24.28,23.86,21.47,54.77,50.79,49.66,56.94,50.97,48.42,50.16,48.74,53.34,52.55,51.84,50.3,162.64,50.57,46.93,48.52,46.47,48.14,41.48,47.69,46.26,47.07,49.69,44.97,107.87,37.24,41.06,44.22,41.7,41.83,39.47,40.27,40.28,45.11,44.98,42.36,108.49,41.27,38.7,41.57,43.62,42.73,39.03,43.31,37.33,45.18,41.92,37.08,139.27,44.7,41,45.5,47.4,45.18,44.39,42.75,43,47.17,45.39,41.1,100.55,42.76,43.55,45.18,45.75,48.52,48.88,45.23,48.38,45.2,44.88,43.39,92.44,45.54,45.57,56.69,49.11,49.82,52.81,48.64,53.6,56.68,52.84,54.86,84.9,38.74,36.04,46.65,40.13,42.72,49.92,39.22,39.86,43.19,40.04,38.74,61.01,29.48,33.8,42.12,36.61,38.84,40.39,38.06,39.18,39.59,40.23,39.53,62.7,41.94,39.49,43.75,43.06,41,38.47,41.69,39.52,45.14,45.3,43.3,52.86,41.08,38.17,42.33,40.68,40.98,43.21,41,40.7,40.24,41.64,40.55,48.26,39.69,36.77,44.49,40.64,41.16,38.12,37.95,38.84,38.8,40.46,39.01,41.15,38.24,33.07,39.81,37.89,38.63,41.26,36.38,37.8,40.55,40.86,41.65,47.56,39.43,34.15,40.75,39.24,38.69,33.91,38.14,38.62,37.59,42.12,42.23,41.49,40.56,37.68,43.28,37.38,46.63,42.14,48.41,48.55,46.36,51.12,48.3,46.17,50.87,45.57,49.92,49.85,50.53,48.89,51.53,51.73,51.4,52.38,45.95,45.75,50.43,41.98,45.9,44.72,49.75,46.75,49.05,51.9,49.76,49.9,47.46,48.06,49.15,44.73,50,47.8,47.6,49.27,45.62,47.87,45.49,47.31,44.57,44.74,43.35,40.78,41.47,39.02,44.37,42.74,43.97,44.92,43.07,43.05,40.04,43.37,42.26,36.89,41.01,38.6,40.43,39.82,40.89,42.07,41.01,39.81,41.24,43.95,44.14,39.61,41.67,41.21,41.62,40.02,40.89,42.21,40.85,43.34,39.39,41.17,42.53,37.5,36.1,35.04,34.67,34.12,32.68,33.38,31.54,32.5,29.65,35.34,34.73,29.78,31.87,29.4,28.68,29.2,30.2,28.31,30.2,30.13,29.35,30.25,29.17,26.26,31.76,29.65,31.47,29.34,30.45,30.72,30.21,30.65,30.47,30.56,30.76,27.53,31.86,29.08,31.94,30.54,32.11,32.26,29.78,34.92,30.46,34.34,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
