series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Iowa,247.54,241.96,310.92,318.65,337.27,327.08,354.02,368.97,347.82,350.8,296.39,261.06,284.11,252.54,324.17,332.16,352.05,350.23,381.94,372.75,342.9,332.94,292,329.04,304.8,306.81,322.51,323.89,329.92,334.62,365.9,366.01,317.19,328.1,325.04,308.01,254.69,249.79,325.09,301.98,322.23,325.19,366.51,400.14,331.72,347.25,309.92,317.43,307.82,242.17,305.73,303.04,333.79,342.05,385.52,371.28,326.32,342.9,324.48,270.76,292.8,265.95,317.39,311.32,318.17,322.32,367.32,360.63,335.5,340.52,330.37,282.94,0,0,0,0,0,0,0,0,0,0,0,0,196.26,189.76,207,203.92,193.49,217.28,236.81,250.46,219.08,242.03,209.83,195.68,195.16,183.53,244.26,218.08,255.33,269.75,265.12,259.51,268.75,264.71,223.73,237.6,186.49,178.28,240.86,237.68,246.56,262.06,284.58,296.76,265.46,285.43,259.96,244.16,217.26,210.28,251.94,264.84,284.29,314.04,350.7,357.6,322.24,320.5,260.43,245.17,225.31,212.88,244.96,251.93,264.86,272.46,253.77,316.11,302.92,299.77,244.86,238.51,212.46,204.44,233.81,239.43,256.32,273.3,313.55,305.74,285.22,282.01,247.26,241.49,223.3,208.57,228.36,235.04,242.21,257.28,278.45,278.37,254.07,251.07,223.83,209.27,191.67,191.83,217.56,226.05,235.88,255.02,286.52,296.67,264,277.98,251.18,235.99,225.5,205.95,245.33,235.55,251.8,269.02,296.82,293.1,283.24,272.48,234.26,200.93,217.84,181.81,232.27,241.07,264.23,277,291.61,294.6,269.84,293.85,267.12,241.45,258.04,208.33,241.57,258.28,273.31,290.61,317.55,325.79,290.54,286.88,247.62,246.3,226.94,186.82,226.71,244.6,264.16,272.14,298.28,292.08,277.18,275.95,245.64,223.32,205.7,182.1,227.31,232.71,256.86,260.16,286.4,278.79,254.6,272.33,249.72,241.26,189.95,186.62,233.72,233.23,239.95,254.15,291.42,304.07,273.89,272.13,232.24,213.62,228.67,181.77,219.83,229.08,243.18,257.17,270.68,286.76,258.21,241.63,233.76,237,201.46,165.85,225.22,225.37,252.07,250.75,264.06,250.74,236.93,236.98,212.73,181.9,169.17,144.57,185.02,212.03,226,228.43,253.65,240.59,233.02,238.49,196.03,164.2,163.41,151.08,181.2,191.75,207.14,217.68,236.9,237.81,215.58,210.77,204.44,167.03,143.61,128.99,176.48,202.93,211.08,205.39,230.7,232.72,209.69,216.51,193.18,168.26,160.47,135.92,178.81,197.09,222.4,221.61,230.75,239.82,212.92,217.61,202.59,197.74,175.18,152.97,185.97,196.07,210.99,214.52,223.68,214.48,198.56,207.54,199.3,175.77,170.16,144.17,162.58,186.14,203.31,208.89,224.18,213.77,208.88,200.81,186.88,165.57,148.98,118.98,146.58,169.6,190.27,184.48,210.33,208.36,198.72,205.17,172.87,173.43,151.78,117.59,146.59,167.87,185.02,184.73,202.12,202.22,191.69,196.54,178.29,180.09,155.11,139.39,162.79,162.55,180.29,188.57,199.94,204.69,206.22,207.89,177.28,167.66,155.83,147.93,163.49,165.29,170.09,181.49,195.76,205.78,200.57,203.12,171.36,164.16,149.22,120.79,143.73,138.11,141.12,135.84,141.49,142.75,139.74,135.45,98.11,102.65,134.51,117.35,138.41,150.1,156.66,169.95,178.39,185.6,165.19,173.51,151.95,161.37,140.75,128.75,132.71,117.68,120.77,144.07,155.02,172.05,166.82,167.01,151.65,145.68,125.75,106.14,118.61,114.04,125.66,138.13,140.35,146.43,144.45,140.85,131.92,124.29,95.66,87.86,109.1,109.41,134.07,135.14,146.55,142.26,131.2,130.64,120.84,118.91,122,105.57,117.79,117.42,134.31,137.15,134.81,140.28,127.25,126.58,119.22,117.55,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Iowa Clearances,46.6,52.43,57.04,52.25,56.52,52.6,54.72,56.48,54.89,57.35,53.09,53.92,59.1,55,65.24,63.63,56.89,55.77,60.26,57.28,58.16,58.51,50.54,57.59,58.96,57.66,61.5,70.75,56.1,56.18,56.1,59.04,50.61,57.5,52.94,52.54,52.51,55.72,65.7,56.46,50,57.69,56.85,59.84,49.19,55.72,57.69,59.67,57.85,52.3,57.72,53.61,55.66,58.99,61.76,64.17,52.19,61.37,60.23,55.91,60.71,58.88,67.7,54.04,58.01,55.42,59.29,64.98,60.9,68.48,63.5,56.93,0,0,0,0,0,0,0,0,0,0,0,0,29.52,33.37,36.42,35.07,30.54,31.91,33.97,37.29,32.78,41.79,33.37,35.45,33.48,34.36,39.27,34.95,34.36,35.1,36.4,39.54,31.25,40.34,30.59,40.29,32.07,33.61,41.42,42.36,38.09,34.47,34.93,33.44,37.97,41.79,41.08,42.83,26.89,28.39,31.06,33.99,35.64,31.79,36.39,37.62,37.29,39.82,34.31,30.06,39.55,39.05,42.28,40.58,39.07,37.44,38.02,43.76,47,50.5,46.33,45.07,35.62,41.54,42.24,39.54,40.23,37.62,39.25,42.09,42.16,42.7,41.6,44.01,33.81,39.01,41.58,40.15,37.15,39.64,38.61,40.03,38.88,37.95,37.21,37.23,27.57,35,40.17,38.24,36.07,35.39,35.41,39.32,39.74,40.98,40.7,41.01,33.36,34.9,40.66,35.68,35.92,37.23,38.25,40.75,41.01,42.79,37.98,34.74,33.45,30.4,37.74,33.63,34.05,32.67,37.47,36.42,34.29,37.56,37.39,37.34,34.69,33.91,37.2,35.84,36.73,35.81,39.59,43.3,42.55,43.21,39.81,41.31,32.03,34.51,38.89,38.59,41.64,38.32,42.05,39.6,42.87,44.7,38.35,43.52,32.87,33.06,37.69,32.79,35.44,31.74,35.4,37.96,38.53,39.56,34.56,37.21,27.33,30.6,38.2,35.96,35.69,36.47,40.03,42.75,41.14,45.3,39.94,39.11,31.12,30.03,34.1,32.64,36.41,36.46,32.45,37.77,38.7,37.86,39.59,39.5,30.84,28.9,35.07,35.69,38.8,39.2,35.77,39.58,36.32,43.52,40.96,36.78,34.48,30.57,36.1,41.62,37.71,35.77,36.02,39.35,41.02,43.04,37.82,37.88,35.66,35.34,39.01,37.66,39.45,38.73,42.1,39.79,40.45,41.6,42.82,38.71,34.24,31.87,36.85,36.62,38.06,37.9,40.31,39.94,40.83,41.14,39.54,38.57,34.89,31.15,38.25,39.49,40.41,38.75,37.31,43.81,39.64,41.36,41.34,41.64,36.93,34.94,38.01,34.89,41.44,37.74,40.46,40.12,36.04,39.52,38.4,36.82,39.97,35.82,38.16,39.38,44.26,42.03,45.73,44.52,43.69,44.92,41.19,40.97,39.25,32.49,36.92,37.85,40.99,36.32,41.3,40.31,38.52,43.58,38.2,39.26,37.56,32.37,35.65,37.19,40.59,38.21,41.04,42.28,39.42,43.28,38.96,41.71,39.89,34.13,35.82,37.02,35.05,35.97,32.23,35.84,36.27,38.91,34.15,36.47,33.09,33.47,33.39,32.96,31.57,33.64,37.3,36.61,35.17,39.39,34.54,35.44,32.9,29.71,33.94,28.94,27.93,28.98,28.19,27.16,27.04,29.09,19.77,22.19,29.54,27.5,33.93,33.49,33.64,32.19,37.22,35.22,32.59,35.72,31.69,35.21,31.34,32.24,28.05,21.11,22.05,22.69,25.26,26.77,27.75,26.46,23.02,26.66,22.6,20.28,21.44,21.34,21.22,24.06,22.89,24.15,25.03,25.17,22.06,24.18,19.28,18.08,23.57,21.05,23.6,21.98,24.36,25.43,24.22,23.04,22.76,24.51,25.4,23.36,24.43,21.19,29.41,28.04,28,29.38,27.98,29.75,26.62,27.28,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
