series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
North Dakota,168.27,159.97,213.64,242.99,244.63,263.9,280.23,263.73,238.07,243.51,186.43,151.79,173.6,142.09,215.45,233.67,261.27,247.5,245.55,241.06,219.16,249.74,154.37,186.26,179.66,169.71,187.64,221.97,247.27,256,275.58,277.54,254.8,260.22,237.63,233.72,170.55,172.33,222.92,221.55,240.14,247.3,285.24,292.62,216.67,223.38,198.95,200.63,158.52,147.91,176.22,204.97,235.86,243.43,263.36,263.51,246.21,238.94,186.01,158.92,234.52,214.13,254.21,274.01,289.7,293.43,318.38,349.02,284.93,338.96,302.94,276.04,71.13,88.35,94.49,99.42,90.78,98.49,102.95,190.66,115.89,78.62,96.82,1381.45,196.99,181.63,262.98,251.22,239.78,238.31,312.21,299.63,252.28,237.91,190.72,205.74,179.53,174.32,207.9,237.46,254.28,279.6,272.08,295.87,244.3,265.89,192.92,186.83,154.92,155.88,206.34,222.36,225.57,244.42,303.92,286.07,251.66,281.57,196.98,189.26,168.95,158.71,215.46,234.1,249.01,254.64,310.1,300.45,280.29,250.75,187.36,191.25,175.34,172.83,193.04,239.44,263.5,259.2,236.15,222.63,222.05,225.53,147.76,221.21,162.69,163.34,184.78,184.42,227.58,254.63,279.1,286.17,238.33,248.4,196.39,287.77,173.52,192.65,180.52,216.52,225.79,245.62,271.85,264.54,224.67,228.43,190.4,262.8,151.03,156.69,179.83,211.34,209.82,213.61,244.79,244.6,190.98,227.97,195.08,174.19,165.99,155.07,184.77,178.14,214.43,203.93,228.46,216.7,207.1,220.8,161.25,155.31,155.4,128,164.85,180.7,206.64,237.58,258.41,263.76,212.63,218.63,195.54,178.43,176.69,164.39,163.86,182.72,200.27,245.24,278.89,238.15,230.42,190.83,152.48,167.95,152.34,126.7,143.43,178.97,219.55,196.51,224.6,222.63,201.59,205,164.03,154.44,126.41,131.5,155.35,179.55,177.22,197.55,195.05,213.27,192.18,194.47,158.27,154.25,134.51,125.71,150.75,162.69,172.58,195.39,228.69,221.82,184.54,186.86,155.92,154.87,162.15,117.44,146.53,172.66,194.18,217.59,228.86,217.27,192.84,201.87,145.9,147.35,143.02,117.46,156.69,162.41,190.19,200.65,206.82,227.07,180.26,184.46,157.28,129.13,130.69,111.23,152.37,168.15,183.36,213.25,224.64,221.52,189.84,206.96,153.68,131.05,116.17,104.29,114.98,159.11,188.32,190.74,234.01,234.47,200.89,178.32,152.73,139.23,124.32,107.27,137.73,151.12,170.74,175.16,192.87,173.03,167.57,172.33,134.79,109.36,122.88,106.62,116.23,147.44,158.54,176.76,207.88,217.88,192.88,200.24,166.81,160.19,145.68,131.29,161.39,166.33,183.94,204.12,210.51,222.92,184.24,168.39,140.96,135.3,133.06,119.61,138.53,155.09,201.22,206.45,225.21,247.78,197.89,199.46,179.76,138.06,141.42,126.47,137.14,161.54,200.3,193.72,230.15,237.82,206.06,209.71,174.13,171.93,157.88,130.53,157.61,173.33,199.23,221.82,225.91,251.28,225.52,215.54,202.44,181.93,187.48,157.3,169.82,180.2,186.01,188.04,214.66,222.31,227.34,225.62,202.46,157.47,173.65,157.73,179.62,166.88,198.85,204.15,204.82,213.2,191.71,195.43,167.51,166.37,171.57,136.41,147.87,156.16,177.09,171.3,192.74,204.98,187.74,183.01,154.98,148.54,142.12,132.66,144,149.63,190.97,192.31,196.75,187.95,176.8,170.36,157.63,147,145.06,143.91,153.14,142.56,175.57,185.78,204.1,214.03,206.58,184.24,181.63,209.2,183.2,129.62,161.71,153.31,174.37,195.03,203.82,208.98,203.98,191.62,170.79,163.88,137.18,147.32,159.25,158.38,182.35,183.76,183.12,200.06,197.24,186.9,147.96,145.39,135.47,129.6,123.74,145.02,160.7,187.1,197.42,187.86,181.33,169.13,176.03,163.49,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
North Dakota Clearances,44.92,46.55,60.34,60.34,52.63,60.93,54.56,57.24,50.78,61.1,54.41,51.88,55.52,44.17,58.24,68.69,62.44,57.34,64.38,55.85,56.48,63.33,47.01,53.9,50.69,54.81,66.71,47.59,49.24,53.61,51.35,61.89,55.12,59.48,58.43,57.22,58.42,50.74,61.1,52.72,51.5,53.79,60.03,60.25,48.91,48.91,43.67,46.72,42.63,43.71,48.17,56.53,52.52,54.99,55.61,52.05,49.89,58.01,49.06,39.57,112.8,59.69,70.14,65.92,67.52,63.34,74.16,73.22,72.05,146.21,131.23,148.54,24.14,31.67,39.1,33.52,25.73,28.28,27.15,29.44,26.52,29.02,19.36,22.81,52.27,48.02,57.33,63.54,51.29,48.02,56.01,77.56,52.09,46.54,45.39,50.78,40.89,55.55,62.71,44.75,50.46,57.16,57.98,54.37,53.51,63.16,51.54,57.81,34.44,40.85,52.55,48.54,48.38,49.37,61.75,63.84,51.3,62.07,53.87,57.08,52.75,42.55,51.98,45.15,41.37,40.98,58.37,52.31,50.64,54.13,33.39,41.53,44.49,46.34,55.08,57.92,62.4,53.12,54.22,52.43,52.95,54.64,39.28,69.32,38.81,47.9,50.59,43.64,41.89,47,57.89,49.01,52.51,55.62,44.79,78.75,34.04,40.36,39.19,38.59,46.32,41.65,53.04,50.89,43.1,42.38,36.43,57.01,31.11,36.99,51.74,47.21,44.89,41.88,48.59,39.76,36.14,40.65,37.91,31.73,31.23,37.2,36.75,33.01,38.89,37.11,37.88,38.48,36.38,36.89,30.46,30.14,26.13,30.32,38.89,31.18,44.19,40.52,39.5,43.87,34.72,38.73,40.9,38,28.82,31.16,38.1,39.52,36.1,38.07,43.63,38.83,43.76,30.73,25.91,42.25,20.93,20.15,30.1,28.6,33.53,34.74,36.32,31.35,28.92,36.18,32.63,30.2,22.69,24.7,30,33.05,34.31,36.71,31.92,30.8,38.76,27.5,36.15,27.45,19.02,22.92,28.74,29.23,24.8,33.41,34,37.34,33.32,35.55,28.58,32.04,27.86,25.36,28.11,24.36,28.03,29.77,33.26,36.02,35.12,35.79,33.35,33.62,23.1,24.81,31.61,33.04,35.73,32.42,34.09,38.7,31.58,40.4,36.88,38.82,38.77,32.39,42.39,38.93,39.42,45.09,38.09,40.42,41.91,48.67,43.54,36.29,36.77,35.79,31.99,39.78,41.67,43.47,46.35,48.13,49.13,43.73,41.99,43.64,32.03,41.02,36.08,33.7,36.56,37.13,41.46,35.68,38.77,41.7,34.93,32.64,34.76,31.35,32.3,33.28,33.65,34.66,32.05,43.61,41.17,40.26,37.05,41.41,43.76,37.51,42.16,35.19,38.62,42.83,37.46,41.01,38.54,36.35,28.74,28.45,31.59,37.74,41.45,34.22,45.35,46.57,41.06,45.03,40.58,38.97,45.25,34.9,40.52,37.56,41.16,40.25,42.7,35.2,40.03,41.14,41.16,46.8,42,38.8,39.11,35.54,45.31,42.14,42.94,45.58,42.94,50.73,47.43,46.57,54.12,58.83,54.42,47,42.39,43.17,42.11,42.34,43.3,39.06,44.73,47.9,42.87,35.99,46.16,45.37,47.23,41.79,50.54,52.84,41.26,50.31,44.8,46.8,39.49,39.16,43.32,35.29,37.13,35.95,44.73,34.47,37.63,46.05,36.31,42.36,33.42,36.84,40.1,34.97,39.75,31.76,41.48,43.7,41.34,45.94,43.97,40.16,37.01,37.93,39.27,40.95,38.15,31.49,34.93,39.77,38.29,47.1,45.08,38.94,30.84,39.72,37.03,27.17,32.68,32.55,27.51,38.49,32.94,33.84,36.73,35.74,28.83,28.78,25.41,31.95,35.42,31.6,38.37,35.93,39.01,43.25,41.32,45.82,40.42,35.42,32.02,36.1,31.38,33.79,38.04,34.08,36.97,37.86,35.37,38.3,38.08,36.77,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
