series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
New Hampshire,216.74,210.46,243.91,242.8,251.31,255.77,280.2,247.66,265.2,273.31,240.36,421.74,215.38,198.54,229.11,256.28,271.76,306.37,318.78,304.03,270.14,290.94,255.1,313.67,211.7,230.88,262.98,265.17,260.04,269.58,306.8,301.32,288.02,293.37,261.45,298.79,250.71,242.9,253.61,255.4,261.77,267.46,300.99,337.98,267.65,293.18,259.28,251.97,278.54,239.54,275.63,308.63,284.13,292.46,330.39,334.46,292.24,314.67,261.22,252.57,288.76,249.96,285.87,291.42,304.82,292.4,323.19,355.06,293.02,311.69,295.19,279.63,245.46,252.17,273.9,271.32,285.77,289.17,323.31,345.52,273.02,315.75,283.59,239.82,244.37,232.68,234.29,242.03,248.3,259.16,268.84,300.16,278.19,257.61,224.17,214.6,203.76,174.04,186.28,223.68,247.26,254.67,272.07,292.45,240.24,257.39,243.48,233.36,174.26,165.74,203.82,231.44,237.19,244.45,245.29,255.64,223.88,234.47,210.17,210.98,184.65,173.67,194.4,189.58,217.63,232.07,266.72,252.17,207.29,235.1,205.05,188.69,200.15,203.34,195.79,214.96,237.67,240.08,254.8,259.16,234.05,243.76,219.34,221.49,334.79,248.31,316.19,392.11,256.42,363.84,328.27,390.73,436.87,388.82,301.69,282.59,208.13,203.89,205.74,223.71,273.03,251.87,283.88,276.33,237.16,252.36,220.91,217.16,175.68,184.82,195.38,202.5,226.96,233.9,235.45,234.03,226.38,245.21,228.56,223.68,162.32,163.39,174.99,170.23,188.31,197.72,208.03,198.74,173.41,189.65,172.41,176.62,165.57,143.19,149,171.18,190.6,192.9,214.62,206,178.85,223.04,191.46,169.29,157.49,127.54,147.38,150.62,169.65,177,206.23,201.47,185.43,186.39,159.56,149.17,132.51,126.01,149.35,149.83,158.73,170.36,198.72,201.54,166.84,170.87,159.96,152.6,143.26,134.89,161.66,158.14,170.27,164.66,175.48,197.31,166.02,168.41,162.98,146.48,126.88,124.35,146.13,161,163.24,178.42,189.2,210.01,177.3,173.82,156.3,153.05,154.12,141.75,147.8,167.8,179.59,189.87,206.92,217.12,172.95,179.09,172.47,172.33,149.79,125.44,158.04,156.3,180.88,188.17,216.15,217.78,188.18,196.81,168,143.06,156.48,147.19,159.75,165.37,204.8,204.54,223.34,226.9,191.55,214.01,188.18,167.46,149.67,130.1,163.68,195.7,195.7,226.6,221.41,225.18,199.36,207.62,187.87,173.14,165.1,146.55,181.22,195.93,201.18,210.05,229.82,239.01,204.63,203.47,170.77,170.98,146.39,126.38,151.97,176.78,198.45,211.58,231.91,259.37,226.43,226.41,213.99,212.73,180.9,168.76,182.49,202.47,220.38,197.49,238.4,220.5,196.66,195.06,172.16,168.26,159.22,130.47,156.33,165.67,197.23,198.17,226.11,225.01,211.29,211.7,171.78,151.1,148.04,115.07,134.57,164.35,169.6,176.01,199.71,186.42,183.6,181.58,144.81,152.16,125.77,91.18,131.97,156.67,164.9,153.1,166.69,174.22,155.97,151.66,128.41,147.12,123.51,95.87,117.04,122.2,139.06,141.53,140.48,147.07,138.52,122.58,115.35,106.26,103.13,87.34,100.3,111.36,120.29,125.78,136.84,135.47,118.61,128.22,118.31,102.44,95.03,81.87,94.65,102.13,110.37,111.2,120.58,119.9,122.01,121.41,93.89,97.52,83.57,81.01,85.07,97.48,100.79,103.57,117.79,117.04,118.47,115.68,94.7,91.99,87,75.84,81.55,72.94,77.96,94.28,94.99,109.21,114.48,110.18,98.47,90.57,73.7,63.94,82.92,68.09,88.06,98.71,102.98,106.9,100,93.99,90.4,77.47,66.54,72.09,78.31,87.73,89.52,103.47,99.02,99.53,99.25,92.33,81.04,75.11,67.31,58.33,66.79,70.5,72.16,78.12,87.8,91.17,85.74,88.21,75.76,70.78,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
New Hampshire Clearances,49.67,35.79,54.64,45.62,37,39.23,45.03,34.16,40.04,41.77,37.46,35.55,35.54,33.59,41.58,37.97,35.15,37.8,42.09,42,38.68,42.39,35.84,41.22,34.76,39.51,42.93,45.21,38.18,44.69,44.42,33.74,39.04,42.37,41.11,37.82,41.96,40.48,39.64,38.85,33.72,35.86,32.99,39.16,30.86,44.42,32.89,40.83,37.5,39.83,43.76,42.26,38.33,41.19,34.37,43.08,36.97,41.34,36.21,39.64,38.86,37.03,46.94,43.99,40.08,38.58,39.41,43.09,40.16,45.44,42.9,46.67,43.53,43.06,46.3,43.72,42.63,42.85,41.67,49.16,37.65,44.22,48.32,44.56,46.09,44.92,51.91,42.39,37.94,43.13,41.94,47.09,39.66,43.02,37.97,37.17,34.29,38.83,35.02,41.17,36.92,37.83,41.74,42.31,50.56,35.55,41.07,43.99,30.4,35.92,45.66,40.83,40.32,34.47,37.11,38.41,36.49,35.78,37.4,42.94,30.78,32.71,41.1,30.77,36.79,46.75,35.86,37.09,38.64,39.98,36.3,33.87,32.2,39.3,39.59,39.28,41.47,39.47,36.73,45.86,38.39,44.99,41.7,40.61,50.48,29.66,29.23,34.01,24.15,29.14,26.32,35.8,27.6,31,38.14,40.96,62.06,56.05,59.97,62.77,71.97,67.58,71.74,71.03,53.8,65.37,64.41,50.08,51.21,52.99,60.54,53.25,53.11,48.21,62.51,54.88,58.21,63.32,55.81,57.55,43.29,38.87,53.6,42.89,42.93,54.11,48.52,56.67,42.93,53.96,41.33,47.64,42.86,37.55,37.96,44.65,50.93,46.06,40.6,29.58,20.26,26.13,24.85,33.99,25.3,23.6,24.8,25.02,26.78,26.16,26.95,28.48,24.79,26.4,26.72,25.55,14.18,19.72,21.75,24.28,22.94,21.83,24.22,26.7,20.26,24.22,21.82,21.6,18.05,17.46,24.1,27.05,24.93,23.74,25.79,28.35,24.25,21.75,22.97,22.93,18.01,23.64,26.87,28.36,28.23,30.2,23.57,29.98,26.95,25.34,24.3,30.66,22.34,25.58,29.09,27.38,26.9,26.9,26.71,31.72,28.18,27.92,27.32,34.73,20.96,21.3,22.75,23.65,30.05,29.7,28.46,31.37,29.15,27.59,32.04,27.76,26.53,32.07,30.56,32,30.45,34.16,30.59,36.51,33.91,35.67,34.8,31.97,33.45,27.62,33.91,34.39,33.2,35.24,33.45,35.09,34.82,38.56,34.22,33.79,33.57,31.43,34.24,38.9,32.15,33.69,39.22,35.58,37.47,34.79,31.45,33.51,30.44,27.46,33.01,33.13,32.01,32.63,34.03,39.17,36.82,35.38,39.91,38.71,38,35.41,35.9,34.81,39.19,35.4,36.57,32.99,34.5,33.45,32.93,35.49,36.89,33.61,37.13,33.73,38.81,37.03,42.08,42.9,40.52,40.9,40.19,38.65,37.93,30.72,36.01,39.72,33.76,36.86,39.22,34.58,35.15,37.69,32.61,36.13,29.85,26.91,30.39,31.05,31.6,35.25,34.47,29.11,32.22,31.33,32.84,35.09,35.57,27.57,29.95,28.34,28.11,26.95,25.92,29.95,25.64,20.48,25.03,24.1,27.63,23.49,26.39,26.54,29.14,27.08,27.54,30.13,25.63,22.73,27.23,25.32,25.85,23.28,29.56,24.04,24.34,23.13,25.4,25.02,23.81,25.63,24.12,26.31,25.2,23.92,26.76,24.37,22.49,21.89,24.75,25.2,23.92,23.77,21.74,21.59,23.48,23.83,17.07,14.68,15.43,15.35,19.09,21.11,15.59,22.23,21.89,17.96,16.74,17.47,16.51,16.75,18.18,18.4,20.35,17.84,17.37,15.92,14.56,16.6,16.18,16.36,15.7,15.62,13.1,16.27,15.83,16.91,14.91,16.06,15.37,16.1,16.44,15.86,15.69,18.61,14.66,15.56,16.71,17.01,21.16,18.51,18.37,19.08,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
