series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Alabama,296.58,261.86,288.37,265.32,281.24,293.79,328.76,326.72,294.49,319.99,295.97,300.18,313.51,290.72,311.88,290.23,307.93,313.62,342.11,345.48,334.38,326.67,307.34,322.49,333.24,317.37,335.07,301.75,315.56,322.5,357.37,368.18,338.88,343.27,326.82,351.3,316.8,342.47,305.26,283.22,307.33,327.21,369.42,403.33,364.89,330.63,318.9,354.86,370.46,314.61,339.49,327.63,365.76,375.75,391.14,390.72,353.56,326.99,314.57,321.78,160.54,147.36,154.25,155.81,158.49,158.59,172.36,173.41,161.64,169.98,159.39,2549.75,27.26,23.11,440.05,28.93,32.71,435.18,0,0,445.38,0,0,3082.15,1.49,1.79,491.02,1.76,2.54,488.84,2.3,2.06,497.97,1.99,1.55,2791.73,175.68,141.62,465.13,171.42,180.05,497.5,300.06,293.65,254.27,249.86,284.07,2646.54,263.56,267.86,256.96,265.5,274.49,267.88,263.86,273.72,284.05,271.75,286.42,2646.6,181.37,180.98,370.71,176.56,184.34,361.38,268.37,467.2,240.22,251.65,254.31,2715.9,140.82,140.31,139.67,140.99,142.5,141.47,141.39,141.92,140.63,141.18,140.23,2758.13,7.77,6.4,7.02,7.11,7.38,637.61,9.2,7.33,8.05,8.28,6.87,3768.2,43.17,36.81,41.06,39.32,41.32,562.61,42.6,42.38,39.87,36,33.98,3069.44,5.79,5.5,5.64,6.8,5.84,6.22,6.39,7.81,7.52,6.56,6.8,3883.47,6.06,6.53,6.7,5.7,7.19,828.44,6.74,7.36,5.96,5.26,5.65,3349.18,6.31,4.55,5.88,7.47,6.16,678.6,6.32,6.29,6.68,6.15,6.13,3210.62,5.43,4.16,5.29,5.37,6.81,745.86,6.11,6.66,6.67,5.76,4.34,3307.62,5.31,4.38,6.09,6.11,5.7,738.12,5.53,6.23,4.62,5.58,5.07,3375.1,5.8,5.33,6,6.29,5.65,664.28,5.96,6.37,6.12,5.22,11.53,3329.59,5.74,5.22,5.93,6.57,6.05,790.28,7.94,6.65,4.51,4.47,6.34,3280.07,14.25,9.18,12.33,11.94,12.23,793.84,14.39,12.36,12.91,11.48,13.06,2834.17,9.73,8.9,10.42,9.13,10.25,703.49,10.69,10.36,9.95,10.01,9.97,2929.52,9.11,7.52,9.89,9.61,10.35,635.03,10.22,10.64,10.21,9.31,9.21,3233.84,7.73,7.03,8.31,7.76,10.01,558.62,10.15,9.02,8.25,8.84,4.28,3151.43,4.42,3.61,4.67,5.26,6.95,559.56,6.49,5.38,5.93,5.65,5.3,2834.72,246.37,208.79,258.35,276.34,288.54,426.09,297.08,297.03,277.89,290.39,279.8,485.1,231.63,179.89,217.79,231.08,241.54,332.64,236.69,238.5,221.65,234.37,220.05,961.52,275.92,231.97,252.29,271.36,284.11,291.27,306.25,307.39,299.86,320.37,273.92,286.49,266.89,223.68,256.69,266.12,277.3,284.3,292.28,279.01,264.4,263.39,260.86,264.83,247.61,181.43,237.76,248.52,259.5,252.53,270.67,263.94,262.78,266.14,251.22,253.43,246.91,190.38,225.09,231.11,256.49,249.34,270.01,269.17,257.16,266.57,234.6,258.6,245.15,212.21,225.66,243.57,260.27,261.69,276.62,266.38,243.2,250.68,234.28,237.79,238.19,212.06,218.4,209.21,248.38,246.71,272.16,261.24,235.48,240.22,225.22,224.92,199.77,166.27,175.17,185.93,187.52,176.11,170.39,96.38,15.86,17.58,14.07,16.89,199.15,168.37,170.38,151.77,137.28,92.97,136,110.04,31.82,35.6,28.42,40.17,89.12,94.78,97,95.13,108.85,109.64,125.34,127.23,130.68,134.04,123.87,138.07,125.44,118.95,136.89,137.32,150.04,147.71,151.82,150.44,143.11,151.79,138.11,145.45,157.61,137.09,146.57,131.86,151.07,153.3,155.68,158.19,147.72,147.15,126.37,120.36,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Alabama Clearances,56.04,50.49,55.43,57.12,55.58,57.42,64.15,66.47,57.55,65.16,55.9,59.21,61,54.22,61.46,56.84,56.44,55.13,60.5,57.39,62.28,57.4,52.89,56.59,61.33,58.84,58.94,55.48,51.69,57.52,57.27,62.82,54.93,59.16,56.98,59.61,63.3,79.34,70.22,62.5,65.31,67.23,73.41,82.3,75.56,69.22,65.25,84.62,81.27,77.13,100.84,80.56,129.09,79.63,75.75,81.54,74.88,76.93,75.34,76.68,22.88,21.74,22.52,21.92,19.74,25.15,22.83,22.42,24.02,27.55,21.5,57.46,0.03,0,61.97,0,0,61.2,0,0,62.61,0,0,608.48,0.13,0.33,70.42,0.31,0.18,70.12,0.34,0.13,71.33,0.18,0.27,576.27,0.44,0.63,0.24,0.97,0.68,0.34,0.34,0.29,0.23,0.28,0.33,0.22,0.35,0.44,0.55,0.26,0.27,0.31,0.35,0.58,0.61,0.49,0.09,0.12,0.53,0.33,0.64,0.24,0.49,0.46,0.66,0.46,0.58,0.3,0.18,327.58,1.44,1.2,1.13,1.37,1.32,1.08,1.51,1.32,1.13,0.65,0.96,297.29,1.64,1.94,3.56,1.47,1.52,1.72,2.33,1.67,1.55,1.28,1.67,556.38,1.68,1.16,1.35,1.45,1.59,14.92,1.59,1.66,1.21,1.04,1.11,468.66,0.5,1.59,2.67,1.8,2.62,2.14,2.93,2.31,1.01,2.11,1.92,495.37,1.71,1.71,1.14,1.39,2.04,1.51,1.43,1.4,1.34,1.43,1.07,426.35,0.08,0.08,0.32,0.21,0.08,27.98,0.03,0,0.08,0.08,0.13,465.67,0.82,0.69,1.8,1.39,1.36,1.93,1.76,1.92,1.3,1.45,1.15,583.85,1.48,0.88,1.63,1.83,1.42,1.28,0.99,1.28,1.68,1.32,0.81,554.64,1.28,1.17,1.59,0.96,1.86,0.97,1.17,1.43,1.27,1.24,2.33,592.81,0.97,1.38,1.09,2.35,1.8,1.2,1.1,1.37,0.86,0.69,0.77,547.81,1.9,1.18,2.25,2.28,1.93,2.08,3.07,2.49,2.57,2.61,2.81,485.38,2.12,2.07,2.53,1.91,1.51,2.38,2.05,3.2,2.32,1.1,1.75,504.48,2.29,2.23,1.58,2.13,1.92,1.48,2,2.26,1.7,2.15,1.72,617.41,1.65,1.32,2.36,2.11,2.18,1.98,1.87,2.32,1.78,2.45,1.14,614.24,0.96,1.22,0.87,0.99,1.41,1.74,1.05,1.34,1.3,1.43,0.96,522.1,49.3,41.24,49.11,50.88,53.27,87.62,55.51,54.91,51.36,52.63,48.63,85.48,54.31,45.54,53.11,57.16,58.06,55.37,56.36,52.26,52.61,55.3,47.92,45.63,62.89,53.52,58.5,63.63,63.64,64.75,65.85,66.71,62.03,68.7,56.9,57.28,65.3,56.88,64.74,69.92,69.07,66.88,68.21,64.25,56.72,55.39,52.63,53.45,56.92,44.42,57.26,58.71,56.16,52.96,59.01,56.05,57.44,57.88,51.17,53.59,62.15,45.74,53.8,53.65,56.51,52.92,56.69,54.09,51.22,52.98,47.13,48.94,52.56,49.53,49.8,55,56.03,54.87,58.23,57.94,53.17,54.87,49.75,49.94,52.74,46.78,47.38,42.13,46.78,44.99,60.73,57.58,50.42,50.97,46.12,45.93,54.75,46.4,48.05,48.22,48.74,43.7,37.43,15.16,4.64,6.11,3.37,3.55,44.68,33.51,32.2,31.03,25.3,13.82,28.87,19.11,4.79,5,2.99,4.03,10.62,11.75,14.1,13.61,16.05,13.98,15.83,14.24,16.22,18.56,17.92,23.85,21.26,21.29,24.37,23.8,23.91,24.13,23.85,28.38,27.97,26.73,27.85,27.61,27.35,25.18,30.08,25.68,27.68,28.91,28.21,30.14,28.04,25.17,22.61,22.7,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
