series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Mississippi,278.88,240.2,292.72,259.05,259.42,273.45,326.86,334.37,286.62,282.91,283.9,296.46,302.51,276.74,297.46,278.01,288.96,290.83,343.4,385.91,313.94,306.23,305.77,335.78,335.25,299.41,320.94,305.05,305.34,330.2,368.37,375.94,341.09,337.96,340.31,378.75,313.66,319.16,289.8,306.79,326.79,330.42,387.14,391.92,351.27,340.74,327.37,518.24,342.76,284.27,309.22,313.88,328.63,348.83,388,398.82,334.08,346.09,348.54,496.74,367.43,343.24,377.76,346.88,366.63,380.09,413.17,444.68,379.01,392.58,347.23,567.91,413.04,357.34,380.09,402.13,450.79,418.97,480.89,463.28,458.14,459.56,435.81,597.64,434.69,362.3,383.51,368.66,409.97,415.94,481.67,492.32,465.61,448.09,412.45,606.78,423.71,334.06,405.84,411.57,437.07,457.44,484.37,483.06,457.52,454.56,419.72,592.33,446.87,428.07,487.35,484.67,508.1,486.22,540.39,516.29,486.05,481.88,472.04,500.14,483.43,428.1,470.13,414.77,469.04,455.38,486.18,484.94,468.47,484.88,473.64,451.65,460.93,353.06,385.62,419.19,450.68,449.14,521.47,520.55,474.96,489.42,429.46,474.86,466.47,393.61,430.41,432.65,475.94,475.32,536.57,492.64,460.58,466.78,410.74,457.68,407.12,323.6,362.76,366.54,390.4,401.31,430.17,446.7,411.51,419.15,369.59,785.9,443.58,332.98,382.13,387.9,421.66,431.42,446.04,462.43,422.15,408.8,374.25,418.26,373.31,314.46,383.43,402.93,436.34,424.75,454.75,461.01,417.52,425.28,390.13,385.44,383.32,302.86,369.46,400.51,418.7,425.26,437.08,424.22,410.34,414.66,399.89,416.37,367.89,296.29,350.11,392.24,398.72,390.5,423.15,420.18,406.49,407.87,363.37,384.21,363.73,298.73,362.79,372.29,397.04,387.59,406.81,385.79,362.36,371.84,341.84,353.16,327.41,275.63,312.96,323.75,345.76,340.3,395.35,372.98,357.43,362.63,345.18,319.64,302.5,251.19,306.62,310.58,331.44,325.08,361.89,351.87,291.81,300.95,293.52,304.55,282.76,248,283.23,297.35,340.76,314.31,339.2,329.66,293.2,307.12,272.45,291.51,267.52,232.94,283.2,284.56,296.08,297.55,317.27,310.96,292.34,289.44,266.05,315.65,243.91,209.91,243.25,267.57,284.76,284.27,310.58,279.6,283.34,270.71,229.87,271.13,247.28,199.12,251.83,270.32,273.63,292.12,308.54,302.41,281.77,297.67,270.19,293.77,246.98,204.96,253.97,277,293.53,295.6,313.92,295.52,285.12,275.52,267.48,271.79,249.2,200.09,255.92,266.58,299.89,301.55,312.39,310.38,281.53,288.7,276.5,282.45,255.68,195.47,232.75,260.31,286.13,268.57,277.14,288.83,264.9,268.94,255.42,262.92,245.34,199.35,215.19,239.56,259.35,270.26,313.75,297.52,267.03,282.3,249.13,274.24,255.7,207.08,230.53,246.6,275.51,291.29,314.86,293.31,281.77,311.5,275.08,294.15,269.59,197.64,228.49,252.46,254.23,275.33,290.96,276.94,263.39,278.51,243.48,267.73,234.09,204.73,232.66,229.41,252.69,258.17,284.47,268.78,263.59,258.06,244.18,243.02,248.82,197.77,221.5,229.04,238.76,256.44,267.82,256.34,248.34,244.52,240.96,218.95,224.36,198.77,217.9,220.7,232.19,232.35,246.67,239.55,211.57,222.37,210.26,214.95,210.67,189.69,192.6,214.16,230.65,226.98,247.54,237.65,211.93,210.88,208.93,221.13,214.8,191.14,197.79,178.6,190.32,183.38,207.67,220.08,197.11,208.65,193.7,178.25,172.75,130.59,158.06,145.25,150.58,165.66,169.51,170.86,164.46,176.95,156.15,154.21,141.78,134.96,150.73,154.56,163.11,149.87,150.86,151.96,144.86,135.89,122.06,128.4,128.55,121.08,122.62,125.16,132.38,135.94,137.68,142.62,128.05,137.66,124,120.87,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Mississippi Clearances,64.58,56.1,73.4,63.96,55.56,58.62,66.13,75.48,64.61,67.68,68.37,70.42,69.3,58.92,62.76,53.71,56.16,54.39,65.14,66.52,63.54,68.81,65.26,68.56,66.57,63.93,70.05,60.8,58.29,59.82,68.88,59.28,62.61,59.81,63.87,72.59,63.58,75.35,58.15,59.48,59.82,57.07,63.75,70.77,71.69,63.9,63.92,86.56,68.04,62.37,62.86,60.29,58.47,67.23,74.34,80.16,61.57,64.38,70.75,84.54,74.47,75.6,75.44,69.53,71,64.28,73.34,80.3,76.02,73.89,76.47,88.31,83.26,77.41,78.47,82.58,84.9,76.18,86.68,83.69,81.45,75.78,77.69,114.53,84.53,75.86,75.44,71.07,72.92,71.64,83.58,79.91,78.47,82.96,77.25,116.05,77.8,67.04,75.56,76.49,77.83,74.28,83.7,76.56,80.61,79.38,73.1,97.75,78.59,68.13,74.61,72.82,73.8,75.27,86.78,86.14,78.54,70.22,68.88,79.25,83.35,72.88,80.61,73.44,72.5,81.35,76.45,80.42,80.43,79.91,82.92,87.67,85.94,60.72,74.33,72.18,71.37,72.79,76.77,79.49,72.28,81.45,64.88,76.05,64.06,62.85,65.52,61.13,64.8,62.22,69.73,62.38,56.25,54.72,50.46,59.6,60.03,43.05,47.7,45.06,49.14,54.78,49.2,54.29,57.05,48.87,41.62,334.2,74.67,63.13,72.08,70.63,73.31,77.19,82.38,82.31,71.18,67.8,64.88,75.2,71.14,63.99,73.71,75.59,77.64,84.25,79.93,88.09,80.69,78.83,65.74,68.79,71.79,57.86,74.56,75.85,80.83,80.94,80.45,81.36,84.5,77.31,80.19,81.88,75.48,59.86,69.38,74.03,74.71,70.53,80.49,76.94,76.39,77.13,65.1,71.04,65.18,51.76,73.23,67.39,77.54,73.29,81.37,71.79,68.13,75.23,66.78,64.02,60.35,53.71,56.57,61.21,65.15,67.62,67.91,59.24,56.82,60.8,55.45,53.47,52.33,43.87,52.98,54.16,53.49,51.54,56.24,52.77,41.38,44.61,41.17,44.12,47.78,43.89,53.22,37.45,48.66,48.58,49.22,52.19,46.89,51.26,47.58,49.17,38.77,38.96,52.74,44.54,44.92,46.51,64.67,49.62,55.07,49,43,45.14,39.63,32.88,35.04,40.21,39.37,37.88,40.29,39.04,40.29,41.25,36.96,40.28,38.66,34.41,38.59,41.12,41.97,42.75,44.18,44.02,37.98,40.91,38.63,41.69,42.32,36.2,41.87,45.12,49.36,46.97,48.7,45.6,43.2,43.23,42.44,49.15,43.36,36.11,47.89,43.11,48.64,48.19,47.52,47.07,45.99,54.83,49.59,53.79,45.75,36.78,43.11,47.41,54.72,49.03,50.06,49.92,45.25,54.32,41.31,44.29,47.33,36.57,38.08,49.06,46.6,47.69,51.35,51.98,46.99,53.48,49.44,56.36,51.58,45.49,46.02,53.19,62.33,61.34,65.86,63.02,61.64,69.38,61.88,62.83,61.68,47.94,51.4,57.17,57.01,64.87,59.94,56.18,59.44,57.51,53.67,59.75,52.12,48.65,54.44,57.11,55.55,53.92,52.71,57.6,58.22,51.67,49.75,57.84,49.68,44.83,53.11,50.86,55.21,63.34,59.71,63.53,64.67,62.78,51.06,47.55,48.81,43.15,43.72,51.98,44.59,45.55,44.51,47.37,40.96,45.42,44.05,44.87,40.32,37.76,37.04,41.52,40.66,42.41,42.74,38.11,36.47,37.61,38.33,36.89,34.9,30.34,30.02,22.86,25.66,25.64,29.02,29.31,27.57,27.68,23.84,26.68,21.57,17.88,24.09,21.78,22.89,20.75,20.86,26.94,22.37,26.7,24.08,25.65,22.15,21.25,22.68,25.03,22.91,25.05,23.94,25.74,22.83,23.59,24.15,26.09,21.29,21.94,17.73,19.49,20.62,20.78,22.18,21.66,25.01,24.61,21.96,22.7,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
