series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Georgia,361.01,344.65,380.65,397.41,391.29,382.72,418.06,423.05,396.85,419.91,386.79,384.52,394.22,380.51,384.97,447.06,414.52,423.45,444.21,448.46,432.53,413.23,374.28,404,426.13,413.11,427.75,413.34,472.17,438.56,475.89,476.13,429.2,381.57,439.3,437.15,439.97,432.05,455.56,455.49,547.21,489.39,521.97,536.97,496.51,485.62,464.67,403.96,498.33,451.09,500.3,497.82,621.73,580.36,633.61,625.15,551.84,537.1,498.09,440.74,528.75,466.24,495.12,486.86,546.77,530.96,567.81,588.79,513.75,496.75,495.78,488.18,469.29,444.7,447.79,463.04,532.39,518.97,552.46,540.58,506.86,509.71,475.25,505.62,474.52,422.79,457.98,453.51,508.08,487.57,511.94,522.83,518.71,499,457.99,487.8,446.72,383.59,440.67,430.44,502.22,480.46,499.91,495.66,454.61,434.47,416.59,414.31,420.49,384.35,432.07,438.4,506.72,486.45,507.75,512.72,466.74,470.81,439.27,453.12,415.87,369.12,418.72,406.27,508.85,474.95,497.66,498.6,462.03,482.16,461.3,449.83,465.48,400.21,428.51,440.48,526.53,496.19,530.4,544.19,477.6,481.34,441.18,456.04,465.28,379.22,410.95,411.75,443.41,446.01,468.58,463.2,430.86,437.15,464.22,431.44,435.68,358.11,394.28,397.17,443.44,440.34,431.37,437.05,424.21,424.39,383.3,400.4,398.26,343.68,357.3,380.19,384.71,388.41,407.67,419.99,405.14,395.91,383.19,393.69,325.82,311.34,352.24,341.15,378.66,375.44,380.53,394.47,364.74,371.72,344.73,340.14,344.73,292.76,331.7,339.93,360.14,354.13,381.84,382.16,356.25,383.14,344.29,344.18,334.8,280.44,310.16,329.82,352.9,338.89,369.35,363.98,353.79,368.19,334.82,353.56,351.06,296.47,350.15,355.05,369.11,358.61,395.46,387.89,384.95,390.57,341.89,354.87,309.9,270.54,317.06,322.56,332.94,344.41,360.02,340.84,336.75,353.03,337.81,670.74,329.84,289.4,342.85,351.86,359.16,364.71,366.47,385.97,369.8,370.89,337.96,336.65,321.91,270.49,312.42,323.77,340.87,334.11,359.03,345.59,327.28,334.07,313.39,323.88,308.66,260.65,309.43,307.25,340.14,334.66,359.48,357.1,336.27,346.23,329.84,332.31,319.09,267.16,313.03,324.11,347,344.76,376.2,377.71,358.95,349.19,319.36,335.2,301.05,243.28,284.16,299.41,313.34,323.8,339.55,335.39,312.42,322.92,309.84,315.42,277.55,223.47,286.75,304.27,325.61,314.61,329.07,333.21,314.72,321.72,308.57,312.7,272.3,231.94,282.89,297.34,314.95,319.3,339.05,329.97,313.79,318.09,317.61,318.24,286.6,232.99,274.15,280.39,306.04,300.61,299.07,304.89,285.69,295.86,277.45,285.05,288.7,228.51,252.06,266.49,295.24,290.2,309.04,305.34,297.22,310.86,281.54,292.96,277.52,230.57,264.1,276.67,301.84,305.65,341.33,316.05,305.77,283.95,266.12,286.2,270.11,198.28,230.8,235.62,256.86,262.39,272.13,262.58,269.3,262.67,241.27,267.01,249.46,211.79,234.64,245.52,257.13,255.51,267.53,274.44,263.66,269.4,246.54,272.45,214.07,181.72,203.07,198.95,214.05,218.07,228.78,209.79,206.24,228.88,202.77,204.83,224.35,200.89,193.37,206.03,220.09,217.7,232.04,233.32,207.45,218.03,209.13,215.53,198.02,246.39,253.43,192.18,202.14,196.13,196.75,194.18,178.21,106.36,99.44,103.31,119.6,106.37,123.12,106.04,118.01,121.06,125.13,128.02,121.39,146.09,146.12,153.28,148.36,129.7,128.53,115.44,122.58,123.44,131.64,137.79,142.59,140.02,136.04,137.72,128.3,125.12,129.18,136.67,150,147.45,153.22,152.75,150.25,145.63,144.56,150.45,148.9,140.45,152.94,154.53,163.21,160.82,166.83,154.06,147.87,156.11,145.36,141.27,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Georgia Clearances,99.98,73.85,80.24,59.4,71.38,57.31,65.77,66.5,70.86,72.76,68.55,70.86,74.72,73.43,78.66,79.98,80.44,77.1,74.45,75.19,65.58,75.68,66.29,81.3,69.05,76.85,79.76,72.84,72.75,89.68,76.17,83.43,73.04,65.32,72.61,82.37,86.15,80.23,84.84,80.17,83.75,93.65,81.37,99.72,90.27,84.42,95.39,155.27,72.98,74.43,79.04,73.59,88.03,63.37,85.46,108.53,86.29,94.3,84.77,70.69,123.71,95.17,110.23,94.77,108.11,101.83,92.49,95.44,73.97,102.3,78.25,98.41,69.47,71.55,70.2,68.9,78.83,72.14,83.29,78.5,80.22,80.68,73.91,79.88,101.36,96.41,102,94.89,86.85,82.68,83.83,91.84,90.23,102.54,88.19,100.5,75.2,69.8,81.23,68.7,80.21,76.96,77.51,86.91,75,80.51,78.33,81.13,79.4,79.93,85.55,77.71,94.15,85.54,86.13,94.92,85.54,85.33,84.14,88.37,80.3,76.34,87.47,79.41,80.99,89.25,80.3,87.47,81.88,90.88,88.31,89.01,92.99,82.36,90.01,97.4,94.91,87.82,88.91,96.67,85.71,90.77,80.95,85.91,89,74.43,79.77,87.45,83.86,76.37,83.37,82.46,77.51,74.77,71.78,75.85,66.05,66.76,65,62.19,69.36,59.87,65.03,64.81,59.79,62.84,59.9,81.41,54.27,55.94,63.07,60.68,51.26,61.17,67.68,66.49,59.92,68.11,60.09,157.34,55.15,53.82,73.96,57.87,66.42,61.43,59.93,61.44,61.36,63.32,55.29,66.98,55.49,46.06,52.37,51.94,55.34,58.38,64.82,60.36,56.37,59.93,51.58,50.16,54.76,41.39,47.64,52.36,51.11,52.79,55.51,54.98,49.66,52.75,48.31,50.2,52.04,46.98,52.17,50.15,53.25,51.75,58.86,54.7,56.67,57.82,49.91,59.81,51.92,45.93,53.97,49.97,49.52,53.04,52.88,51.5,47.36,53.99,49.76,50.4,55.94,50.51,59.49,57.53,60.24,61.75,61,65.14,61.56,60.92,55.32,59,54.79,49.39,53.23,50.4,54.45,54.82,61.49,57.7,54.9,55.06,52.41,55.04,58.41,48.39,55.6,53.7,59.81,58.19,58.62,62.58,54.03,60.97,67.2,60.88,59.91,51.53,57.71,60.57,62.18,60.48,62.45,66.27,61.23,63.3,56.32,60.65,55.59,40.88,46.39,44.72,45.6,45.86,49.09,49.52,48,50.36,42.53,47.13,50.03,43,52.91,50.89,55.27,54.29,53.51,55.37,50.78,54.97,50.99,56.57,52.82,47.52,56.68,56.48,60.58,58.25,58.2,64.17,58.7,59.19,58.43,61.99,62.38,57.52,61.48,59.88,70.28,85.65,61.06,63.6,59.5,64.51,56.19,57.32,60.26,50.93,54.43,54.68,61.16,57.54,164.55,66.06,65.15,89.25,60.62,63.83,63.11,60.14,72.27,65.85,66.36,64.03,70.18,72,60.67,61.64,55.71,60.31,56.95,51.6,58.19,52.05,55.62,87.95,60.38,50.54,53.32,58.47,46.14,60.85,49.5,45.01,49.41,47.58,49.5,48.67,44.37,817.05,44.88,43.91,44.34,47.54,44.23,38.82,43.64,40.6,46.5,45.47,44.16,46.67,40.39,41.07,43.63,44.94,45.37,41.34,41.93,41.96,43.45,42.89,42.98,43.66,42.45,44.18,38.5,43.96,42.39,38.11,41.15,39.15,35.83,34.62,36.47,116.68,91.62,13.39,13.1,15.17,17.6,15.8,14.71,11.87,13.79,12.98,14.31,14.28,13.21,14.89,14.59,15.76,16.26,15.29,16.09,14.83,14.41,15.47,15.52,16.37,15.58,15.55,15.3,15.71,15.14,16.07,16.32,15.58,16.53,16.1,16.52,17.65,17.23,15.99,16.49,17.37,17.09,16.6,17.78,18.03,18.71,18.11,18.96,17.35,17.37,18.65,16.93,18.39,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
