series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Vermont,277.94,255.7,279.25,290.78,320.65,336.43,358.88,321.68,336.26,353.3,323.74,277.57,263.59,271.9,289.65,310.91,310.17,330.87,337.15,381.52,363.96,310.54,296.49,377.26,295.99,275.73,324.64,343.98,330.47,376.64,387.04,361.68,371.53,328.65,321.17,417.15,342.99,282.01,321.4,341.73,339.39,349.1,375.9,365.29,333.27,323.2,306.04,366.19,286.72,354.99,256.21,257.3,295.43,337.74,335.93,443.24,282.72,396.03,329.03,301.53,343.98,265.62,299.49,304.25,334.82,408.05,375.1,403.65,320.54,306.45,341.05,343.43,250.74,301.79,297.07,326.32,330.86,307.61,389.95,324.13,309.59,291.22,237.26,248.55,301.85,217.6,227.01,254.81,262.13,290.14,327.14,285.54,267.56,206.74,199.63,177.26,0.52,0,0,0,0,0.53,0.82,1.63,2.4,4,4.54,3202.39,68.77,65.44,75.98,95.58,87.26,93.91,99.83,110.55,109.44,136.8,102.6,2158.13,77.97,73.32,77.23,93.53,93.17,105.27,108.57,112.06,105.09,115.18,106.37,2230.87,70.7,76.99,86.06,94.02,105.13,104.2,101.05,109.75,91.13,36.34,1.16,5355.36,0,0,0,0,0,0,0,0,0,0,0,0,99.12,107.8,142.83,150.52,158.21,175.28,179.66,179.69,157.31,156.19,145.24,1341.81,146.08,142.3,140.05,159.29,185.29,187.54,214.75,210.73,192.28,201.68,184.34,737.98,143.35,145.49,166.89,180.53,198.16,201.41,214.76,225.77,204.29,205.86,187.86,648.55,180.11,155.1,145.62,155.1,187.46,196.78,211.09,210.51,186.09,207.48,183.3,444.17,180.39,154.06,166.73,168.68,207.14,188.62,210.77,236.55,201.84,185.46,152.27,407.57,140.92,135.85,158.58,172.7,177.05,179.82,204.51,194.42,173.29,185.55,162.52,344.45,161.43,157.45,178.35,162.43,181.51,195.94,224.31,244.88,241.73,226.14,202.74,159.61,163.85,128.84,158.22,184.46,194.42,236.59,259,232.79,216.39,219.65,187.86,168.3,191.48,165.72,171.34,173.66,202.66,210.18,244.13,241.7,212.13,212.22,204.44,166.05,161.29,132.91,158.78,174.55,194.23,218.96,250.68,243.04,230.44,221.24,209.04,170.65,180.25,141.27,168.9,197.33,185.51,225.65,303.15,282.89,273.01,253.08,217.11,169.15,161.27,153.26,172.98,199.2,217.93,223.91,224.88,230.87,235.56,226.78,206.13,182.16,186.18,155.04,185.32,193.96,224.78,202.66,226.78,189.02,170.38,205.27,179.35,163.21,167.14,122.25,160.91,183.78,188.56,230.02,262.56,276.56,232.75,228.14,183.19,191.59,184.28,160.04,193.59,197.6,228.25,237.73,235.16,253.62,230.18,211.89,195.09,179.95,182.41,152.85,169.65,170.5,175.19,172.16,217.03,224.55,206.9,198.68,149.18,139.15,126.5,114.37,120,111.81,109.33,121.56,158.71,163.86,148.27,153.82,131.94,77.88,101.11,79.39,87.21,95.04,105.93,122.77,152.39,159.65,149.24,140.47,150.59,131.62,105.22,104.58,121.68,132.89,115.44,142.45,171.19,173.32,151.06,145.84,97.92,56.15,102.37,98.82,101.46,113.18,141.58,132.53,143.99,148.96,148.39,148.18,127.68,111.6,88.78,82.23,91.33,87.66,104.84,114.64,121.83,132.05,138.12,131.89,111.77,113.68,91.03,86.99,92.63,111.22,133.82,130.13,157.7,160.26,137.98,130.77,104.97,107.69,105.08,80.21,78.45,89.84,103.63,97.38,121.44,127.22,145.18,115.37,106.68,106.35,85.97,79.34,96.5,105.8,115.25,120.98,134.4,143.8,148.89,134.45,113.23,117.29,96.28,88.04,126.73,121.74,151.33,173.25,178.03,171.39,165.52,164.59,144.81,127.34,124.97,99.76,132.98,131.28,147.19,152.13,186.73,186.11,167.89,190.28,144.87,128.19,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Vermont Clearances,16.82,40.93,66.92,95.05,107.45,49.97,33.08,43.93,57.76,51.17,37.76,35.14,28.47,28.84,25.88,31.61,32.53,41.04,38.26,56.38,84.47,41.96,39.37,49.54,32.66,31.75,40.88,29.01,22.99,35.4,21.53,30.66,33.21,40.33,25.91,34.85,26.8,23.92,29.5,27.88,30.04,29.68,33.63,31.29,37.23,45.68,32.32,73.02,44.49,41.58,37.41,43.22,36.86,34.32,38.86,64.46,38.13,41.4,27.42,41.55,51.62,55.29,45.4,63.71,103.8,134.73,88.42,114.6,132.35,94.46,92.08,106.18,38.34,44.51,41.06,71.41,97.39,90.66,68.5,109.83,103.9,109.83,102.37,93.95,111,53.3,91.35,89.05,101.17,116.01,106.82,69.4,67.1,126.05,62.71,91.56,0,0,0,0,0,0,0,0,0,0,0,195.91,6.1,8.13,9.98,10.35,3.7,8.5,6.84,12.76,8.69,12.39,11.28,9.98,7.82,10.79,7.82,8.99,11.92,8.99,9.17,8.99,7.89,17.61,13.2,8.62,6.48,8.51,9.25,11.1,7.4,9.99,7.4,8.51,8.22,2.34,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,13.05,18.23,16.8,14.12,15.73,18.06,16.26,15.73,20.14,18.02,18.77,15.47,20.11,20.97,20.28,20.97,17.68,21.67,20.78,18.34,20.34,25.65,22.68,19.26,20.41,26.5,24.37,19.97,20.28,20.11,24.15,22.47,21.6,22.31,23.53,17.81,22.88,25.5,21.25,23.7,21.08,24.13,25.5,18.05,21.17,22.97,24.56,22.26,20.31,26.16,24.54,27.2,22.84,29.41,28.19,25.39,28.81,18.85,24.21,18.31,14.39,19.37,23.97,18.47,16.84,22.4,22.76,21.42,23.38,24.95,22.72,18.08,22.73,25.05,22.73,19.41,21.07,24.89,30.69,25.38,25.55,24.39,24.55,17.87,15.94,26.4,25.07,27.06,27.56,30.38,28.5,24.69,24.41,23.54,20.46,30.88,22.68,29.65,29.16,24.79,29.42,31.43,34.51,24.55,30.29,30.29,28.51,22.99,15.94,23.74,24.4,26.84,27,33.02,36.44,30.39,30.42,24.89,25.7,32.56,27.63,28.45,26.92,29.39,25.77,33.38,40.34,27.06,28.19,26.09,27.71,28.23,23.84,30.96,28.23,26.12,33.19,35.46,33.51,35.13,38.45,32,31.4,29.5,29.99,32.07,24.57,29.16,29.23,24.46,20.87,18.51,26.41,26.41,31.47,27.88,22.95,22.36,36.37,21.99,25.45,32.52,37.44,36.65,29.38,29.42,27.91,29.21,34.03,33.07,30.18,30.4,34.99,33.07,33.39,33.55,28.73,34.14,35.96,34.71,36.31,32.38,29.35,31.17,26.18,41.45,31.78,32.25,33.81,35.42,31.42,28.22,24.1,35.56,21.1,17.22,24.38,26.03,26.03,25.36,23.07,15.2,16.89,21.54,17.73,17.25,21.24,19.84,19.71,28.27,30.07,25.68,22.9,33.02,29.07,23.78,22.46,30.66,29.94,26.53,26.33,27.24,27.47,22.94,24.42,21.37,14.63,25.43,22.79,21.03,22.64,29.02,28.76,25.82,30.79,31.8,25.53,20.88,23.77,23.47,20.92,21.87,17.88,21.65,23.79,22.83,25.26,29.36,31.45,30.82,28.1,27.72,25.2,29.81,28.05,32.37,28.69,27.72,33.01,27.56,28.05,25,33.65,25.99,21.98,16.84,14.6,24.38,17.33,20.21,23.42,21.02,22.49,15.24,30.29,23.7,15.87,12.86,19.67,17.5,15.49,19.13,18.61,21.65,21.38,22.15,19.11,20.71,20.17,23.65,22.45,29.55,20.46,25.5,25.65,26.13,28.59,27.66,26.74,25.06,20.08,24.71,22.24,26.87,28.11,29.5,33.67,32.59,31.66,35.37,27.96,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
