series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Kansas,263.47,266.35,342.46,320.22,337.94,339.79,386.35,401.37,343.04,372.08,348.73,340.84,378.38,331.15,393.68,356.42,360.33,396.3,436.74,446.5,383.92,384.82,357.93,386.35,335.58,339.14,362.88,350.14,365.01,371.96,409.34,437.06,388.89,387.8,353.68,339.22,335.67,327.55,361.99,338.81,365.34,357.03,438.39,457.86,384.55,396.94,390.18,390.86,371.94,304.08,361.36,355.23,388.9,388.34,436.31,443.59,403.78,429.49,390.77,338.24,390.91,341.66,379.77,368.67,393.89,384.09,438.3,445.26,401.81,418.07,415.04,391.29,353.41,380.63,421.33,411.38,428.35,443.98,500.86,508.4,437.64,454.55,384.94,451.99,419.95,385.32,399.77,373.89,396.92,401.63,438.51,474.14,413.03,421.01,371.01,400.59,559.2,522.74,610.48,576.01,620.16,678.7,778.07,770.1,657.85,679.22,661.36,709.83,573.67,627.86,684.08,632.29,652.81,758.93,808.52,774.72,714.08,735.22,682.82,688.19,613.96,627.02,709.73,701.88,797.99,700.95,798.68,847.43,745.08,763.33,714.12,667.45,673.42,607.55,611.24,611.47,641.43,710.96,807.23,831.41,702.67,766.93,657.99,698.29,589.33,556.73,650.05,618.57,683.6,708.92,833.05,822.32,684.83,690.47,712.8,728.09,662.11,627.04,611.72,620.16,634.81,640.58,669.26,710.05,647.9,513.36,615.33,636.14,390.38,465.65,485.84,378.92,518.71,402.87,410.62,439.34,597.69,574.91,478.86,477.48,274.07,266.2,305.2,276.95,323.64,333.13,380.75,353.62,335.74,331.95,298.48,268.69,321.43,251.25,308.59,327.21,351.64,350.89,366.78,353.57,326.06,363.59,320.4,318.71,282.27,251.53,288.33,306.91,331.09,345.19,362.1,365.02,337.48,323.09,283.48,299.61,290.21,194.98,299.15,306.55,338.35,346.07,382.73,359.83,339.7,329.37,321.83,305.83,243.83,208.31,250.64,262.43,275.61,297.12,300.4,285.04,285.03,293.9,266.36,1070.37,206.13,187.01,220.93,227.66,232.92,241.64,268.13,257.08,227.59,237.56,98.16,1343.85,207.38,172.28,445.55,217.49,253.31,532.69,260.86,254.72,532.9,236.32,219.18,495.03,190.33,160.86,457.68,217.18,253.73,497.01,271.58,262.49,530.5,245.36,213.33,449.88,200.35,169.09,402.82,210.01,216.73,457.24,234.85,233.61,465.8,239.33,210.64,367.87,186.18,164.43,357.48,191.45,220.72,434.75,237.12,226.55,457.21,209.83,148.69,353.33,169.77,138.03,365.25,199.27,214.43,431.99,224.74,218.12,428.69,207.05,187.86,396.65,162.78,131.61,332.4,190.25,204.46,402.02,227.91,221.21,449.38,218.1,203.39,397.68,202.6,171.2,363.7,201.6,214.06,412.32,222.25,216.81,414.38,215.85,198.58,379.71,185.39,154.76,331.3,180.16,196.1,379.88,202.42,215.74,406.01,216.87,191.74,344.8,173.66,141.83,289.22,170.86,194.8,348.82,194.14,187.31,341.73,148,143.3,406.97,162.43,122.18,320.4,153.31,172.19,370.84,199.36,195.89,372.42,199.02,171.76,384.87,182.71,149.54,289.4,172.98,185.61,304.71,205.04,207.52,323.48,207.26,183.69,330.26,190.6,170.72,281.47,177.86,202.98,322.98,205.85,208.84,335.5,197.39,196.35,301.38,178.75,158.24,294,181,192.71,319.69,195.27,200.01,334.65,192.24,171.32,304.65,164.56,135.54,250.59,158.79,182.55,239.63,188.9,187.3,264.56,187.43,189.06,263.53,195.23,168.96,180,164.27,180.31,189.5,205.23,222.8,206.89,211.44,213.04,222.58,208.32,173.99,183.5,168.34,203.69,202.13,192.2,205.6,209.24,200.86,189.66,188.93,147.69,149.97,181.33,204.71,200.9,163.7,193.31,198.06,184.71,195.3,176.2,178.41,167.56,154.95,172.5,164.14,188.26,177.23,184.47,194.42,179.42,170.75,164.35,169,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Kansas Clearances,58.9,59.1,68.31,64.94,62.06,58.08,65.64,66.22,62.62,65.33,59.8,68.1,84.82,73.08,79.64,63.74,60.29,62.62,62.32,68.83,63.5,65.2,59.76,64.01,60.58,54.19,64.82,62.28,66.88,54.96,65.35,70.84,66.72,66.68,59.77,55.61,58.41,64.9,74.27,54.43,60.92,46.57,48.5,55.18,54.97,52.71,48.1,54.55,51.51,47.93,51.45,48.8,58,51.13,51.35,57.64,46.28,55.75,51.39,44.85,51.66,47.99,49.77,54.65,47.63,47.26,56.55,58.09,49.68,60.64,57.28,59.5,61.81,57.48,60.61,61.75,56.38,54.26,64.9,66.67,58.46,60.47,53.23,56.69,68.71,58.67,56.23,55.5,52.64,50.61,55.6,61.24,55.41,56.04,47.32,52.77,32.05,31.91,31.62,29.34,28.49,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37,24.68,25.73,26.25,25.54,27.64,28.23,25.07,23.07,21.7,21.28,19.23,25.43,23.86,31.22,24.91,25.7,26.66,26.15,25.32,20.02,23.89,21.21,28.42,16.82,18,23.21,26.27,25.13,22.92,24.28,23.6,25.56,26.19,20.26,25.32,16.74,16.95,27.13,30.4,29.81,32,33.14,28.16,31.41,36.23,36.65,32.73,22.32,23.66,27.9,31.6,28.61,27.65,29.45,30.62,29.78,33.78,30,96.85,24.71,25.99,29.57,28.48,26.44,26.42,29.86,28.67,22.73,31.08,11.04,175.59,18.93,15.9,46.06,20.61,26.65,52.25,23.86,23.84,50.6,24.79,23.7,53.6,14.6,14.97,55.93,20.43,27.35,58.36,28.09,26.69,62.45,26.29,25.91,61.56,25.04,20.55,59.74,26.26,26.2,58.94,27.95,22.83,58.32,29.08,28.05,65.78,23.85,21.83,53.6,26.12,26.74,62.93,27.43,27.12,64.11,25.84,21.81,63.03,21.42,21.92,54.37,25.5,26.36,61.99,26.98,25.26,59.62,23.87,25.08,59.8,22.52,18.2,46.48,25.78,24.53,50.66,27.05,27,51.38,26.88,27.51,47.79,26.25,22.16,46.85,24.89,27.14,45.04,28.53,31.02,48.04,29.02,24.83,47.3,25.78,22.49,53.09,26.77,25.05,52.95,28.22,25.03,54.42,24.63,26.57,54.4,25.43,21.58,46.63,25.69,24.69,46.63,25.22,22.54,44.91,20.03,21.19,65.47,24.2,17.55,48.94,21.18,23.76,53.48,24.13,25.88,46.74,24.27,23.78,50.53,26.31,20.32,48.86,19.32,22.6,46.48,20.83,24.93,41.22,21.83,20.98,48.8,21.4,21.15,46.55,18.72,20.54,49.4,21.92,24,46.67,20.54,20.84,45.65,16.55,10.99,30.06,6.22,6.88,30.01,5.87,8.5,26.95,8.27,7.46,28.57,14.18,15.6,40.35,16.51,17.11,32.18,18.58,18.05,27.85,23.47,21.63,28.99,23.33,22.85,25.59,17.31,19.62,20.3,21.35,26.7,24.22,27.94,19.91,27.92,20.26,19.43,21.34,20.12,19.62,19.07,20.71,22.53,22.11,21.06,20.65,24.21,17.77,16.53,22.45,22.65,21.06,20.67,20.24,23.49,21.6,28.28,21.36,21.3,21.69,19.37,22.68,21.57,23.97,22.52,25.62,25.42,23.79,24,24.71,26.95,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
