series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Nevada,515.76,470.13,534.8,515.26,477.73,489.18,563.92,563.49,527.75,517.34,519.05,544.51,530.93,463.7,528.83,483.5,476.53,494.19,527.72,534.8,486.13,514.7,507.12,539.82,523.02,451.1,489.66,477.58,505.85,485.33,512.73,530.92,483.45,534.85,521.55,553.63,527.73,470.5,503.49,464.87,498.66,466.77,476.24,525.06,463.68,486.21,461.18,494.11,465.53,449.88,501.65,466.24,472.08,483.17,525.96,543.48,508.03,510.78,485.22,501.62,475.51,436.34,466.72,473.67,465.43,440.92,505.43,526.28,489.14,524.19,516.39,531.48,504.72,492.78,524.62,494.4,511.74,464.06,511.07,525.68,495.67,490.3,494.94,508.87,489.92,467.01,498.85,458.37,482.85,472.23,495.39,477.39,475.19,480.26,483.14,488.04,437.13,407.43,444.62,428.02,459.36,466.02,447.96,495.92,442.85,464.91,458.75,466.65,472.63,429.01,469.77,455.29,480.01,474.92,480.15,491.15,497.84,510.66,488.97,496.18,494.17,435.24,481.8,444.93,498.58,474.27,468.33,498.31,450.27,498.9,494.44,462.52,440.73,421.6,443.1,388.54,439.25,411.17,422.85,447.04,433.85,456.96,464.25,453.46,453.49,429.52,426.6,433.51,447.76,438.46,447.47,437.81,436.49,463.8,397.87,397.12,430.8,377.9,411.1,388.78,392.5,393.25,391.87,403.32,373.55,399.83,344.76,367.37,344.17,337.42,352.52,328.63,317.36,330.62,356.88,341.85,343.89,364.12,344.89,355.83,323.43,311.07,329.34,305.77,315.07,304.06,316.58,312.77,302.66,312.37,316.03,324.33,306.11,269.36,310.96,296.67,312.14,303.65,292.15,317.42,305.02,338.97,327.77,324.35,344.74,294.18,300.48,321.92,304.67,294.37,333.93,341.16,345.9,360.53,296.07,351.6,360.97,302.79,359.95,362,346.87,355.31,364.81,356.91,359.32,388.64,362.63,394.75,389.8,341.1,375.93,352.8,353.87,330.4,341.1,342.86,346.03,344.02,351,367.15,351.79,302.72,350.38,342.51,372.37,366.32,353.86,363.42,358.08,361.52,379.53,370.8,376.27,313.96,364.09,340.29,360.24,334.08,340.09,341.61,323.94,344.26,344.3,350.47,341.16,295.86,333.4,329.31,334.02,314.88,329.15,324.01,297.54,330.52,284.71,296.29,294.25,258.21,283.75,303.37,303.6,284.1,291.71,283.71,289.64,304.33,287.83,301.13,292.65,232.49,269.19,252.7,263.48,252.73,264.35,261.06,239.04,262.27,245.89,247.82,243.84,206.25,232.32,219.33,233.06,229.73,233.99,241.8,228.88,238.1,232.67,235.12,228.32,189.81,218.68,213.13,222.53,220.41,215.35,224.34,214.77,207.05,215.78,224.54,235.89,201.31,224.43,225.12,237.81,225.63,250.71,253.07,238.61,254.27,242.67,236.9,239.31,202.91,224.81,231.77,246.2,236.87,255.43,252.02,239.45,255.32,226.21,244.01,247.24,202.29,218.63,218.91,228.75,220.15,223.67,215.77,209.07,221.31,212.63,225.12,233.95,195.34,219.21,212.78,239.69,215.47,235.81,234.6,220.07,230.94,220.18,227.82,223.29,199.08,213.6,206.73,212.44,207.75,209.59,224.59,222.89,227.75,222.65,220.23,234.45,195.46,199.33,203.3,226.18,208.94,224.25,223.48,218.51,231.28,229.55,229.08,223.14,199.22,201.09,202.51,216.75,206.93,206.17,204.42,202.58,207.13,190.52,195.06,200.9,167.35,194.71,187.22,206.04,195.72,195.27,199.99,202.85,194.6,197.17,207.26,199.6,180,164.01,136.41,148.46,153.3,154.91,165.84,177,183.59,173.11,181.23,179.99,173.13,178.62,167.22,174.63,180.42,187.96,195.21,194.02,217.56,208.58,200.91,204.85,186.9,212.69,194.55,205.57,195.49,209.87,207.53,196.44,205.95,194.04,202.73,212.43,176.66,197.47,197.91,233.36,227.86,227.61,230.82,212.08,217.08,201.38,197.63,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Nevada Clearances,93.43,91.71,109.8,111.08,88.08,84.15,88.24,96.48,95.26,99.38,94.31,119.4,104.41,103.94,129.9,116.9,101.09,94,83.9,80.91,78.32,95.56,84.17,102.75,94.06,92.97,99.62,99.39,82.53,79.1,86.08,98.62,93.96,113.48,104.81,120.33,107.92,106.41,117.57,95.85,107.93,85.05,83.55,101.51,84.77,94,97.65,105.77,95.11,100.23,118.89,107.55,100.37,98.92,101.85,117.64,104.5,108.27,107.86,122.43,96.35,101.75,106.78,92.74,101.37,80.85,94.44,102.17,92.96,107.41,104.46,113.81,104.46,103.28,116.22,98.97,96.03,79.65,85.56,85.74,82.99,100.13,90.41,97.35,103.25,94.16,98.72,88.68,73.93,72.36,82.42,70.08,79.04,78.79,80.9,78.45,77.58,79.12,74.64,74.16,76.42,64.87,65.64,66.67,60.37,69.13,61.57,67.58,75.97,72.77,82.43,74.17,72.22,72.07,59.41,67.91,67.98,71.11,68.53,81.13,84.06,74.34,79.98,72.35,76.52,67.71,72.18,72.71,78,70.68,79.19,78.06,94.75,97.68,97.12,81.43,93.24,86.81,85.56,88.25,91.06,97.19,111.48,102.74,108.29,94.69,98.21,92.31,95.11,91.41,87.78,96.84,90.28,100.95,92.9,83.24,90.21,81,75.9,73.9,64.34,71.72,73.38,68.75,79.45,87.86,82.66,86.32,80.54,76.06,83.64,80.76,68.99,75.4,69.43,77.89,69.93,80.38,78.88,87.78,73.81,82.92,81.47,79.87,76.52,70.91,73.36,69.91,69.06,78.02,75.22,74.97,72.41,66.71,73.03,74.21,72.74,64.77,67.28,66.95,66.24,73.26,73.88,82.81,84.33,66.34,75.13,69.2,69.75,62.62,70.85,70.12,65.7,75.32,68.23,65.84,82.23,65.9,51.22,74.65,46.27,45.02,50.38,51.63,44.31,51.8,47.03,78.4,83.69,76.41,76.15,66.47,66.77,68.32,65.66,64.85,65.79,68.23,67.84,76.02,72.35,65.6,66.67,66.8,70.94,67.29,61.79,66.13,63.15,58.8,61.87,62.28,60.19,46.76,50.57,46.96,49.05,43,40.67,44.72,41.91,51.25,50.41,52.81,50.13,43.31,48.49,48.8,49.47,44.13,48.92,43.23,42.76,45.33,51.3,49.86,50.88,41.81,49.88,49.69,54.03,51.3,52.57,46.57,43.65,53.15,51.38,56.84,58,45.36,56.45,53.61,55.5,48.24,49.45,52.89,50.81,54.56,52.74,59.48,56.36,50.8,53.84,49.84,50.77,50.25,50.06,48.29,44.14,46.84,42.28,38.88,39.22,37.48,42.48,40.9,38.75,39.1,34.68,38.85,35.37,46.07,42.4,42.9,44.33,40.63,44.91,45.63,47.88,40.45,46.54,47.55,42.84,45.38,44.22,45.49,45.34,39.06,45.7,42.22,42.79,42.11,43.51,44.95,40.42,45.38,42.47,49.43,42.16,41,37.61,34.22,37.54,36.51,37.47,34.43,34.5,33.97,34.12,38.03,35.21,32.07,35.94,33.59,30.54,29.37,33.28,32.07,30.2,27.57,28.19,29.58,29.01,26.63,31.84,29.32,26.97,25.58,24.22,24.86,22.75,24.56,23.95,26.53,26.92,26.22,27.88,24.72,27.88,24.72,23.12,27.62,23.25,25.62,27.12,27.98,28.14,28.28,28.08,27.35,24.91,24.72,26.07,26.99,25.31,28.34,25.31,30.62,26.64,25.82,25.56,25.89,29.28,25.6,23.45,29.28,28.73,29.84,26.3,28.96,30.65,25.75,27.53,23.96,25.11,20.55,21.66,25.47,24,23.04,21.13,23.06,23.45,22.02,24.15,21.1,21.03,21.58,20.43,23.66,21.03,21.13,19.69,24.33,22.94,19.94,25.41,25.16,24.92,23.83,26.55,27.62,24.49,23.64,22.19,24.62,26.28,22.54,27,24.49,24.42,27.13,27.41,26.03,25.65,27.98,25.21,28.55,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
