series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Indiana,281.83,248.24,329.88,313.68,335.37,347.4,382.5,392.68,342.56,352.82,348.04,311.46,307.11,265.48,313.3,310.25,329.73,338.4,380.3,382.19,330.82,325.68,320.07,369.8,298.9,299.49,329.44,319.85,343.25,367.53,405.91,422.96,378.15,365.55,356.24,361.03,318.11,281.53,324.7,328.94,342.27,352.82,384.33,428.89,364.05,359.69,352.27,400.98,373.85,304.27,347.41,344.64,362.47,373.76,442.67,429.03,383.39,397.6,371.64,335.71,375.95,317.85,361.82,348.05,365.44,373.67,413.67,410.18,379.48,406.81,385.31,399.53,360.4,338.18,391.15,385.51,402,418.79,442.55,439.09,400.53,416.17,375.84,397.17,364,348.56,373.5,360.85,367.56,373.3,413.38,415.96,380.33,415.99,394.27,389.19,341,276.83,340.92,356.93,376.7,391.86,441.05,438.6,394.57,406.22,384.5,371.86,303.6,287.79,360.17,349.17,364.21,408.29,434.98,446.65,407.22,416.96,389.39,389.24,355.49,302.73,378.19,360.82,388.81,395.87,432.36,440.35,398.1,399.17,371.1,355.04,314.32,319.42,329.13,356.32,365.28,380.78,434.5,421.56,388.52,394.4,351.29,373.95,339.09,311.05,360.58,357.79,368.15,384.88,424.66,411.32,404.04,409.91,356.02,376.33,341.21,307.67,327.94,338.02,346.63,372.91,393.04,403.41,368.8,359.57,318.56,327.12,266.02,253.74,279.47,296.41,313.82,336.05,353.94,377.08,345.08,343.78,322.24,323.13,277.39,253.12,299.78,290.75,323.64,329.04,353.93,349.64,331.13,340.23,311.06,270.14,271.24,233.63,278.05,289.22,324,331.28,354.19,361.88,321.62,348.14,316.14,344.94,282.72,237.05,265.36,289.64,311.48,309.71,380.39,354.14,336.44,336.6,301.12,304.46,264.97,214.58,269.67,281.26,310.48,332.9,357.31,344.03,323.73,320.11,297.34,293.23,266.79,235.35,295.41,296.83,314.42,327.2,338.01,345.63,334.88,331.24,306.02,301.42,261.92,224.4,278.86,298.12,320.48,342.36,370.38,382.99,353.79,355.3,313.4,306.22,294.61,240.83,287.78,295.97,325.7,324.92,364.35,353.26,315.03,322.93,300.72,302.14,276.37,195.2,284.69,288.28,324.66,320.57,352.58,339.36,309.08,322.09,303.1,288.19,268.82,222.64,267.47,291.51,307.84,330.59,350.15,339.73,321.35,318.24,269.53,256.76,219.9,195.81,243.04,257.7,286.35,303.51,321.51,316.69,292.45,293.15,276.19,282.58,231.38,181.87,256.54,275.65,286.4,309.83,321.37,319.98,293.93,281.76,268.52,246.46,223.97,176.38,243.07,262.94,303.79,309.19,328.62,341.32,295.59,297.09,286.8,289.83,248.55,218.65,248.8,261.7,289.1,288.92,314.1,301.24,272.57,280.88,250.83,244.09,233.48,187.89,206.65,240.67,265.88,266.4,299.11,299.19,267.32,274.37,245.24,234.74,201.26,164.28,197.62,226.55,250.81,261.85,271.91,272.69,261.75,264.74,231.83,233.81,217.47,155.31,196.75,218.77,242.54,248.6,272.04,265.51,251.43,249.37,223.94,232.36,214.62,177.73,212.49,221.21,245.87,249.4,265.09,270.07,246.8,240.64,238.06,218.39,231.21,184.03,188.38,206.4,236.99,240.86,255.06,250.22,228.53,227.62,215.66,206.1,187.18,164.19,179.06,178.97,214.57,214.58,241.26,249.45,226.86,214.91,188.17,194.71,169.59,155.55,164.82,177.83,194.97,162.52,217.42,213.78,205.76,189.44,167.9,180.21,177.06,149,149.85,133.64,146.84,155.89,176.24,181.01,174.37,177.58,164.25,166.66,151.15,115.47,139.56,129.95,144.92,144.85,149.67,148.61,145.5,152.38,135.96,147.97,125.14,113.32,134.7,134.77,149.1,147.68,159.83,161.29,150.49,140.97,136.05,132.9,139.64,115.44,126.89,132.33,142.7,156.88,157.06,154.07,151.27,149.94,138.87,144.1,,,,,,,,,,
United States,356.31,330,405.77,374.27,384.24,412.95,429.51,435.3,418.11,418.21,388.84,426.52,399.04,362.67,413.38,404.98,415.38,422.27,454.12,463.94,424.75,427.17,400.94,426.69,397.49,382.46,422.81,399.77,410.84,422.7,455.01,464.3,426.42,432.58,419.38,456.36,392.89,376.78,407.42,387.42,412.22,418.34,451.17,478.36,430.89,437.55,422.78,430.06,394.12,344.83,454.95,375.94,404.98,472.57,438.67,447.23,466.87,413.87,388.49,608.97,433.62,385.07,425.6,408.79,427.73,424.73,460.84,469.59,430.64,450.4,424.44,485.55,408.13,383.16,433.65,412.63,431.35,449.33,472.63,476.56,445.6,447.14,414.53,613.71,411.45,380.93,425.76,392.88,403.49,434.52,443.06,445.16,431.64,418.93,394.9,506.56,378.29,328.51,396.18,374.46,387.64,422.18,430.84,434.57,414.44,406.07,383.59,457.68,351.19,329.04,381.73,373.46,392.33,400.13,424.51,438.53,400.46,410.22,388.93,461.89,382.61,339.13,387.25,369.43,399,404.5,427.51,442.86,402.41,419.28,390.16,432.48,348.53,327.93,344.48,347.18,367.63,376.78,396.15,393.98,365.98,379.43,344.93,560.38,323.29,288.78,317.75,315.63,332.53,369.35,362.02,358.28,338.61,346.71,314.57,827.33,316.03,277.99,303.43,297.92,310.84,323.97,332.25,334.33,310.65,313.89,295.39,796.03,274.49,247.17,273.81,272.77,285.87,295.76,312.79,317.22,293.09,299.02,285.62,715.01,260.01,244.43,275.67,262.92,286.66,346.94,307.35,308.81,288.61,293.62,271.69,605.19,264.14,229.46,266.1,268.4,288.7,346.93,309.59,310.06,291.8,312.84,288.65,624.91,275.53,234.28,263.46,268.01,283.74,337.26,300.68,297.84,304.03,289.13,263.39,621.04,257.51,216.6,276.88,266.65,279.7,349.76,298.34,293.17,303.6,287.35,261.49,613.16,249.77,222.87,275.69,254.88,268.67,347.5,284.75,283.13,285.89,276.51,261.46,588.49,244.66,213.9,264.29,254.08,268.64,343.13,283.93,289.52,285.05,275.71,254.01,541.57,250.74,207.03,256.01,240.15,261.91,333.64,273.49,275.13,269.7,260.57,244.64,524.17,236.29,194.73,248.98,237.66,259.21,328.82,270.28,266.49,263.17,256.92,237.21,516.39,228.47,196,237.87,234.19,245.07,320.91,266.62,262.81,265.28,254.19,226.56,514.42,210.32,181.61,224.91,219.15,233.34,303.02,251.09,249.31,249.62,236.43,224.16,494.09,203.8,167.49,222.7,217.28,228.58,294.74,245.1,243.94,240.75,228.94,214,456.51,197.24,162.28,213.08,210.92,229.18,318.91,244.22,247.77,244.83,231.85,222.92,403.71,209.24,177.32,215.43,210.01,228.5,267.75,237.57,237.13,233.46,226.54,210.9,428.77,212.78,173.82,193.54,205.64,222.23,255.24,236.83,235.85,223.13,226.12,204.23,370.24,194.11,159.35,183.27,193.33,208.29,237.67,222.4,217.92,211.43,210.61,188.16,365.65,188.39,147.63,176.66,183.66,197.96,227.24,213.18,210.48,203.35,201.16,188.69,357.36,186.08,161.99,180.09,182.8,195.32,221.82,201.66,208.67,198.3,201.54,189.2,341.9,185.13,160.39,171.22,174.08,188.55,189.81,197.95,199.32,187.25,192.57,179.25,346.81,170.6,147.63,159.65,161.76,176.61,175.63,184.89,185.13,173.69,177.77,163.25,330.07,159.18,141.52,153.5,156.87,169.85,167.05,178.95,175.69,167.85,167.39,154.12,318.79,163,145.91,143.57,133.6,143.04,149.16,156.2,160.73,156.92,163.43,154.03,286.58,147.46,126.03,136.04,131.08,146.89,146.58,157.82,158.55,159,164.46,156.58,164.11,156.84,144.59,160.83,158.91,167.34,166.65,175.6,176.06,166.75,170.21,158.37,202.8,162.44,142.45,154.96,154.06,166.34,166.55,172.39,172.79,161.19,166.39,154.15,179.63,,,,,,,,,,
Indiana Clearances,53.39,46.44,57.77,54.41,50.49,48.09,55.8,55.44,53.26,54.7,58.62,54.06,54.14,52.01,56.46,55.05,53.28,54.69,57.05,55.92,53.28,50.09,55.8,56.7,56.37,52.23,59.79,54.09,48.94,55.18,61.57,61.59,58.96,56.2,51.58,58.76,54.3,51.02,54.7,52.54,50.78,50.05,48.85,55.7,50.25,55.64,49.33,68.36,61.21,53.47,57.45,50.38,51.54,51.93,53.19,63.32,53.46,63.12,53.4,57.22,59.05,49.26,56.38,51.66,54.81,52.49,55.79,55.18,52.74,63.27,56.87,58.77,57.1,57.5,63.98,57.67,56.78,56.05,57.76,66.06,69.45,76.33,68.14,65.26,62.32,62.23,63.81,65.36,59.11,52.64,56.7,58.66,56.09,59.97,51.49,57.26,57.04,53.16,63.8,53.87,55.71,57.72,57.29,61.9,53.7,58.01,54.76,55.7,47.57,44.45,54.15,50.66,52.16,53.66,58.48,59.71,57.9,60.55,58.74,61.56,61.96,52.52,63.16,53.7,60.25,61.25,58.41,63.99,62.4,68.03,59.4,59.64,57.6,56.23,55.97,50.52,51.61,49.21,59.99,57.67,55.72,57.88,50.6,54.41,51.09,50.04,55.72,55.31,55.54,58.06,57.45,55.21,57,63.83,58.24,56.01,49.73,47.28,46.98,50.08,46.29,54.9,55.32,51.43,48.35,49.9,48.32,96.19,44.65,44.64,51.84,50.86,45.61,49.96,44.6,55.83,55.55,54.44,46.65,55.05,42.74,40.73,49.3,43.91,51.33,47.19,48.41,49.18,43.87,43.13,46.89,39.79,48.23,44.21,49.25,46.38,51.44,48.88,48.33,53.12,43.26,51.06,48.06,48.55,49.54,41.39,43.96,47.2,49.47,49.71,54.78,48.64,49.43,49.51,45.72,45.46,44.15,35.45,41.61,42.92,44.27,46.35,48.64,46.02,44.48,46.85,43.01,45.97,40.05,36.6,41.32,41.84,41.23,39.47,40.98,42.46,42.19,42.27,39.91,40.39,42.12,37.34,42.74,42.87,45.65,45.35,46.05,49.88,45.3,48.16,44.47,45.06,45.45,37.31,41.41,41.58,46.77,43.87,44.84,47.92,43.71,48.31,44.38,44.36,44.83,34.94,46.76,42.81,50.54,49,50.07,50.02,49.73,52.75,48.32,47.41,48.86,43.74,48.03,51.76,53.59,51.77,56.57,53.88,50.61,56.1,48.13,46.99,41.83,36,43.01,42.23,44.29,46.62,49.05,47.84,47.49,45.13,38.76,44.57,40.56,36.6,41.98,40.12,42.88,46.06,45.83,48.28,41.6,43.98,40.78,45.08,40.45,32.24,40.48,40.11,43.13,45.69,44.24,47.46,43.22,45.32,44.41,48.69,44.11,40.62,42.73,43.24,46,42.39,43.21,44.96,37.92,42.9,37.88,38.98,43.36,35.84,36.51,41.54,43.88,43.06,48.67,49.39,41.53,46.17,41.03,39.57,39.23,33.84,38.32,38.58,44.65,40.36,40.95,39.17,40.52,38.95,35.59,38.18,38.99,28.97,34.41,34.59,37.56,37.32,38.07,38.66,39.02,39.98,34.29,40.32,42.53,32.57,37.42,36.04,36.71,36.44,34.48,35.1,32.42,34.65,34.31,34.17,38.65,34.39,32.46,30.81,34.46,34.86,34.87,36.9,32.54,32.46,30.62,32.31,31.71,28.4,28.09,31.14,32.48,31.16,33.4,35.13,31.56,30.69,27.9,30.74,29.74,27.02,27.52,26.84,27.42,24.25,26.86,27.85,28.27,26.86,23.62,27.35,28.58,25.43,21.29,17.3,21.82,19.64,21.47,20.53,21.72,19.5,16.64,20.12,18.53,16.61,18.21,15.96,17.89,18.38,17.47,17.45,17.71,16.28,16.23,17.84,15.67,13.98,17.3,17.33,18.1,17.86,18.13,17.89,17.54,16.36,17.18,16.11,18.52,16.63,16.05,17.31,17.75,18.78,18.47,18.36,18.79,18.3,19.53,19.73,,,,,,,,,,
United States Clearances,66.63,64.59,72.56,68.62,68.53,65.74,69.94,72.59,66.34,72.58,67.26,72.6,70.06,68.68,75.12,72.5,72.32,70.62,73.95,75.61,71.83,74.41,68.12,74.83,71.95,70.39,78.98,74.01,70.33,72.02,73.75,75.59,71.79,74.37,70.51,78.34,70.31,70.48,76.79,69.84,69.62,69.39,70.29,76.93,70.52,72.99,69.71,77.34,68.78,65.12,73,66.62,69.66,67.57,69.44,74.63,67.99,71.44,65.88,70.21,80.62,73.38,81,73.39,76.05,73.77,75.85,79.57,73.16,80.09,73.66,80.62,75.61,71.54,79.05,73.71,74.6,73.13,76.33,78.02,73.57,77.91,71.57,94.54,78.86,73.47,80,72.97,70.01,71.81,71.72,72.22,71.13,72.29,65.61,91.19,68.51,63.06,72.21,66.53,66.13,67.95,68.5,69.75,66.44,67.91,64.24,69.26,64.02,61.51,70.36,65.81,66.88,66.95,66.88,71.73,66.94,69.45,66.71,73.52,68.74,62.28,70.38,65.11,67.45,66.55,65.6,68.69,63.3,66.09,62.71,70.03,61.62,58.88,61.77,59.8,60.69,58.45,61.74,62.92,58.66,62.17,57.6,71.97,58.86,53.87,58.29,57.09,57.09,55.3,57.97,57.38,56.05,57.77,52.38,126.06,54.28,48.64,52.6,50.28,50.18,50.3,50.49,51.12,48.24,49.67,46.45,135.8,45.65,43.49,48.5,46.09,45.37,46.31,47.7,47.89,45.59,46.12,43.85,123.18,41.21,40.26,44.99,40.96,43.76,43.72,43.44,45.34,42.35,43.86,41.46,109.45,41.86,37.63,43.19,41.4,43.44,46.04,43.83,44.76,40.81,44.34,42.32,102.95,44.03,38.95,43.76,43.77,45.02,46.53,43.36,43.52,41.86,44.26,40.16,104.89,39.98,36.45,42.1,41.25,43.05,46.93,43.18,41.8,41.88,43.18,39.76,104.71,39.9,37.24,42.76,40.73,41.04,48.53,41.85,41.97,40.54,41.1,39.22,98.01,38.28,35.31,41.28,39.85,41.74,47.91,41.6,43.24,40.02,41.02,38.43,90.27,37.8,33.13,37.3,34.76,38.19,43.89,37.63,39.18,37.02,38.37,36.99,84.99,35.92,31.38,37.5,36.54,39.25,44.57,39.34,39.87,37.06,39.39,37.55,90.26,39.21,34.71,38.33,40.18,40.12,46.29,41.04,40.11,38.94,41.02,37.37,93.16,37.58,34.01,38.3,37.61,39.04,46.9,40.82,40.43,39,39.87,37.72,93.67,37.26,32.36,38.38,37.28,38.37,44.43,38.04,38.87,36.81,37.46,35.9,83.85,36.31,31.34,37.31,36.81,38.71,52.82,38.91,40.76,38.92,39.57,38.04,74.21,39.48,35.22,38.55,38.08,40.98,44.83,39.98,40.79,37.56,40.38,36.87,77.74,40.57,34.79,37.85,38.42,40.79,45.11,45.02,42.36,40.16,43.36,38.74,77.5,40.19,34.37,38.08,38.5,40.11,43.97,41.2,40.48,38.7,39.86,35.14,74.55,37.38,31.42,35.41,35.36,35.9,41.83,38.3,37.22,36.35,36.87,34.48,72.59,35.71,32.56,34.93,33.95,34.9,38.51,32.08,58.81,32.37,32.2,31.39,63.2,32.52,29.29,31.04,29.58,32.16,31.51,31.83,32.82,30.64,31.14,29.86,62.45,29.87,27.08,28.58,27.8,29.33,28.48,29.59,29.78,27.77,28.61,26.75,59.98,28.18,25.17,26.74,26.83,27.82,27.08,27.98,29.94,27.86,26.35,24.36,56.58,27.24,25.04,23.19,19.22,20.9,19.64,20.52,21.03,20.62,20.86,18.7,44.65,19.51,17.86,19.38,17.89,18.7,18.87,19.61,19.21,19.12,19.42,18.76,19.88,17.93,17.31,20.01,19.43,20.07,20,20.67,21.44,20.1,20.17,19.65,27.75,22.04,19.76,21.61,20.96,22.67,22.51,22.65,23.66,22.21,22.91,22.55,27.53,,,,,,,,,,
